id,grup,sehir,cinsiyet,dogum_yili,egitim_seviye,baseline_son_4_hafta_gelir,baseline_hafta_20+_calisma,baseline_sgk_kaydi,baseline_haftalik_calisma_saat_ort,baseline_aylik_gelir_ort
64264019,Kontrol,Isparta,,,,,,,,
67034028,Kontrol,Ankara,Kadin,1977.0,Universite - Lisans Derecesi,0.0,,1.0,60.0,650.0
68301005,Kontrol,Hatay,Kadin,1986.0,Lise (Lise),0.0,,,,
64300016,Kontrol,Manisa,Kadin,1987.0,Ortaokul/ Ortaokul (8 Yil),0.0,,1.0,48.0,578.0
64347012,Kontrol,Trabzon,Erkek,1984.0,Ortaokul/ Ortaokul (8 Yil),0.0,,1.0,40.0,1250.0
64244006,Kontrol,Izmir,Erkek,1963.0,Lise (Lise),0.0,,,,
66891034,Deney,Antalya,Kadin,1981.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,
67407022,Kontrol,Istanbul,Kadin,1990.0,Lise (Lise),0.0,,1.0,50.0,650.0
67032012,Kontrol,Ankara,Kadin,1989.0,Universite - Lisans Derecesi,0.0,,0.0,60.0,650.0
66809043,Deney,Antalya,Kadin,1992.0,Ortaokul/ Ortaokul (8 Yil),1.0,0.0,,,
64281031,Deney,Izmir,Kadin,1987.0,Lise (Lise),1.0,0.0,0.0,80.0,800.0
67843020,Kontrol,Istanbul,Kadin,1986.0,2 Yillik Yuksek Ogrenim,0.0,,1.0,55.0,1200.0
66922062,Deney,Ankara,Erkek,1985.0,Meslek Yuksekokulu,0.0,,1.0,60.0,650.0
65459029,Deney,Tekirdag,Erkek,1989.0,Universite - Lisans Derecesi,0.0,,0.0,25.0,300.0
65882018,Kontrol,Usak,Kadin,1970.0,Meslek Yuksekokulu,0.0,,0.0,48.0,9999.0
66086047,Deney,Eskisehir,Erkek,1988.0,Lise (Lise),1.0,0.0,0.0,40.0,400.0
68304054,Deney,Hatay,Erkek,1982.0,Lise (Lise),0.0,,1.0,65.0,850.0
64431016,Kontrol,Kayseri,Kadin,1984.0,Lise (Lise),0.0,,1.0,58.0,600.0
64263009,Kontrol,Bayburt,Kadin,1962.0,Ilkokul (5 Yil),0.0,,,,
64373021,Deney,Sakarya,Erkek,1985.0,2 Yillik Yuksek Ogrenim,0.0,,,,
66922066,Deney,Ankara,Erkek,1987.0,Universite - Lisans Derecesi,1.0,0.0,0.0,56.0,500.0
67803043,Deney,Istanbul,Erkek,1982.0,Ortaokul/ Ortaokul (8 Yil),1.0,0.0,1.0,56.0,900.0
65461024,Deney,Tekirdag,Erkek,1966.0,Ilkokul (5 Yil),0.0,,1.0,48.0,750.0
65179020,Deney,Duzce,Erkek,1982.0,Ortaokul/ Ortaokul (8 Yil),0.0,,1.0,48.0,750.0
65179023,Deney,Duzce,Erkek,1981.0,Ilkokul (5 Yil),0.0,,1.0,48.0,600.0
64300020,Kontrol,Manisa,Kadin,1976.0,Ilkokul (5 Yil),0.0,,1.0,72.0,790.0
67407043,Deney,Istanbul,Erkek,1994.0,Ortaokul/ Ortaokul (8 Yil),0.0,,0.0,70.0,500.0
66542007,Kontrol,Usak,,,,,,,,
64281003,Kontrol,Izmir,Kadin,1984.0,Universite - Lisans Derecesi,0.0,,0.0,55.0,100.0
65496027,Deney,Kirikkale,Erkek,1992.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,
