id,grup,sehir,cinsiyet,dogum_yili,egitim_seviye,baseline_son_4_hafta_gelir,baseline_hafta_20+_calisma,baseline_sgk_kaydi,baseline_haftalik_calisma_saat_ort,baseline_aylik_gelir_ort,takip_anket_tamamlama,takip_son_4_hafta_gelir,takip_hafta_20+_calisma,takip_sgk_kaydi,takip_haftalik_calisma_saat_ort,takip_aylik_gelir_ort,kursu_veren_kurum,kursu_tamamlama_durumu,sertifika_alma_durumu,bilgisayar_kursu,muhasebe_kursu,kursun_suresi_saat,2012_yil_sonu_sgk,2012_yil_sonu_resmi_gelir,ocak_2012_sgk,agustos_2013_sgk,agustos_2013_gelir,mesleki_durum
64264019,Kontrol,Isparta,,,,,,,,,1.0,0,,0,72.0,200.0,Kamu Ofisi,,,0,0.0,592.0,0,0.0,0.0,0.0,0.0,0.0
67034028,Kontrol,Ankara,Kadin,1977.0,Universite - Lisans Derecesi,0.0,,1,60.0,650.0,1.0,1,1.0,1,48.0,1000.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,1,1.0,300.0,1,1500.0,1.0,1.0,3873.48,68.0
68301005,Kontrol,Hatay,Kadin,1986.0,Lise (Lise),0.0,,,,,1.0,0,,,,,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,0,1.0,320.0,0,0.0,0.0,0.0,0.0,0.0
64300016,Kontrol,Manisa,Kadin,1987.0,Ortaokul/ Ortaokul (8 Yil),0.0,,1,48.0,578.0,1.0,0,,1,84.0,850.0,Meslek Lisesi,,,0,0.0,600.0,0,0.0,0.0,0.0,0.0,0.0
64347012,Kontrol,Trabzon,Erkek,1984.0,Ortaokul/ Ortaokul (8 Yil),0.0,,1,40.0,1250.0,1.0,1,0.0,1,65.0,740.0,Kamu Ofisi,,,0,0.0,420.0,1,891.5,1.0,1.0,681.0,23.0
64244006,Kontrol,Izmir,Erkek,1963.0,Lise (Lise),0.0,,,,,0.0,,,,,,Meslek Lisesi,,,1,0.0,480.0,0,0.0,0.0,0.0,0.0,
66891034,Deney,Antalya,Kadin,1981.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,,1.0,1,0.0,0,48.0,700.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0,0,0.0,560.0,1,3.0,0.0,1.0,1327.69,45.0
67407022,Kontrol,Istanbul,Kadin,1990.0,Lise (Lise),0.0,,1,50.0,650.0,1.0,1,1.0,1,60.0,750.0,Mesleki Egitim Ve Ogretim Merkezi (Mem),,,0,0.0,528.0,1,743.75,1.0,0.0,0.0,25.0
67032012,Kontrol,Ankara,Kadin,1989.0,Universite - Lisans Derecesi,0.0,,0,60.0,650.0,1.0,1,1.0,1,40.0,75.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,0,1.0,300.0,1,897.41,0.0,0.0,0.0,49.0
66809043,Deney,Antalya,Kadin,1992.0,Ortaokul/ Ortaokul (8 Yil),1.0,0.0,,,,1.0,0,,,,,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0,0,0.0,480.0,0,0.0,0.0,0.0,0.0,0.0
64281031,Deney,Izmir,Kadin,1987.0,Lise (Lise),1.0,0.0,0,80.0,800.0,1.0,0,,1,54.0,630.0,Meslek Lisesi,1.0,1.0,0,0.0,400.0,1,1.0,0.0,1.0,1159.55,0.0
67843020,Kontrol,Istanbul,Kadin,1986.0,2 Yillik Yuksek Ogrenim,0.0,,1,55.0,1200.0,1.0,0,,1,48.0,650.0,Universite,,,1,0.0,350.0,0,0.0,0.0,0.0,0.0,0.0
66922062,Deney,Ankara,Erkek,1985.0,Meslek Yuksekokulu,0.0,,1,60.0,650.0,1.0,1,1.0,1,50.0,725.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0,0,0.0,120.0,1,2105.0,1.0,1.0,3366.8,55.0
65459029,Deney,Tekirdag,Erkek,1989.0,Universite - Lisans Derecesi,0.0,,0,25.0,300.0,1.0,0,,,,,Halk Egitim Merkezi (Hem),1.0,1.0,0,1.0,320.0,0,0.0,0.0,0.0,0.0,0.0
65882018,Kontrol,Usak,Kadin,1970.0,Meslek Yuksekokulu,0.0,,0,48.0,9999.0,1.0,0,,,,,Meslek Lisesi,,,0,0.0,184.0,0,0.0,0.0,0.0,0.0,0.0
66086047,Deney,Eskisehir,Erkek,1988.0,Lise (Lise),1.0,0.0,0,40.0,400.0,1.0,1,1.0,1,60.0,700.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0,0,0.0,680.0,1,889.5,1.0,0.0,0.0,43.0
68304054,Deney,Hatay,Erkek,1982.0,Lise (Lise),0.0,,1,65.0,850.0,1.0,1,1.0,1,84.0,600.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,0.0,0,1.0,320.0,1,891.5,0.0,1.0,1021.5,43.0
64431016,Kontrol,Kayseri,Kadin,1984.0,Lise (Lise),0.0,,1,58.0,600.0,1.0,1,1.0,1,45.0,700.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,0,0.0,160.0,1,5.0,1.0,0.0,0.0,38.0
64263009,Kontrol,Bayburt,Kadin,1962.0,Ilkokul (5 Yil),0.0,,,,,1.0,0,,1,54.0,1500.0,Halk Egitim Merkezi (Hem),,,0,0.0,320.0,0,0.0,0.0,0.0,0.0,0.0
64373021,Deney,Sakarya,Erkek,1985.0,2 Yillik Yuksek Ogrenim,0.0,,,,,1.0,0,,,,,"Kamu Ofisi, Meslek Lisesi",1.0,1.0,0,0.0,368.0,0,0.0,0.0,1.0,1945.21,0.0
66922066,Deney,Ankara,Erkek,1987.0,Universite - Lisans Derecesi,1.0,0.0,0,56.0,500.0,1.0,0,,0,56.0,700.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0,0,0.0,120.0,0,0.0,1.0,0.0,0.0,0.0
67803043,Deney,Istanbul,Erkek,1982.0,Ortaokul/ Ortaokul (8 Yil),1.0,0.0,1,56.0,900.0,1.0,1,1.0,0,54.0,1250.0,Ortaokul (Universite),1.0,1.0,0,0.0,528.0,0,0.0,0.0,0.0,0.0,32.0
65461024,Deney,Tekirdag,Erkek,1966.0,Ilkokul (5 Yil),0.0,,1,48.0,750.0,1.0,1,1.0,1,56.0,1000.0,Meslek Lisesi,1.0,1.0,0,0.0,75.0,1,889.5,1.0,1.0,1634.53,32.0
65179020,Deney,Duzce,Erkek,1982.0,Ortaokul/ Ortaokul (8 Yil),0.0,,1,48.0,750.0,1.0,1,1.0,1,45.0,1300.0,Meslek Lisesi,1.0,1.0,0,0.0,265.0,1,1021.52,1.0,1.0,1030.0,34.0
65179023,Deney,Duzce,Erkek,1981.0,Ilkokul (5 Yil),0.0,,1,48.0,600.0,1.0,1,1.0,1,27.0,99999.0,Meslek Lisesi,1.0,1.0,0,0.0,265.0,1,1652.51,1.0,1.0,1881.92,32.0
64300020,Kontrol,Manisa,Kadin,1976.0,Ilkokul (5 Yil),0.0,,1,72.0,790.0,1.0,0,,1,48.0,650.0,Meslek Lisesi,,,0,0.0,600.0,1,5.0,1.0,1.0,1121.26,0.0
67407043,Deney,Istanbul,Erkek,1994.0,Ortaokul/ Ortaokul (8 Yil),0.0,,0,70.0,500.0,0.0,,,,,,Mesleki Egitim Ve Ogretim Merkezi (Mem),0.0,0.0,0,0.0,528.0,0,0.0,0.0,1.0,1035.0,
66542007,Kontrol,Usak,,,,,,,,,1.0,0,,,,,Meslek Lisesi,,,0,0.0,160.0,0,0.0,0.0,1.0,1025.0,0.0
64281003,Kontrol,Izmir,Kadin,1984.0,Universite - Lisans Derecesi,0.0,,0,55.0,100.0,1.0,0,,1,51.0,1100.0,Meslek Lisesi,,,0,0.0,400.0,0,0.0,0.0,0.0,0.0,0.0
65496027,Deney,Kirikkale,Erkek,1992.0,Ortaokul/ Ortaokul (8 Yil),0.0,,,,,1.0,0,,,,,Meslek Lisesi,1.0,1.0,0,0.0,300.0,1,1.0,0.0,1.0,783.15,0.0
68158065,Deney,Ankara,Kadin,1990.0,2 Yillik Yuksek Ogrenim,0.0,,,,,0.0,,,,,,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0,1,1.0,300.0,1,858.95,1.0,1.0,1049.07,
64337022,Kontrol,Kocaeli,Kadin,1986.0,Ortaokul/ Ortaokul (8 Yil),0.0,,0,72.0,300.0,1.0,0,,0,50.0,500.0,Kamu Ofisi,,,1,0.0,210.0,0,0.0,0.0,0.0,0.0,0.0
68097018,Kontrol,Ankara,Kadin,1973.0,Meslek Yuksekokulu,0.0,,1,54.0,750.0,1.0,0,,1,102.0,750.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,0,1.0,300.0,1,4.0,1.0,1.0,1645.8,0.0
67289075,Deney,Ankara,Erkek,1985.0,Universite - Lisans Derecesi,0.0,,1,48.0,550.0,1.0,0,,1,45.0,99999.0,Kamu Ofisi,1.0,1.0,1,1.0,300.0,0,0.0,0.0,0.0,0.0,0.0
64298033,Deney,Manisa,,,,,,,,,1.0,1,1.0,1,45.0,800.0,Meslek Lisesi,1.0,0.0,0,0.0,600.0,1,5.0,1.0,0.0,0.0,34.0
67703035,Deney,Ankara,Kadin,1980.0,Meslek Yuksekokulu,0.0,,0,50.0,600.0,1.0,0,,0,8.0,500.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0,0,1.0,300.0,0,0.0,0.0,0.0,0.0,0.0
65474004,Kontrol,Tekirdag,Kadin,1972.0,Lise (Lise),0.0,,1,48.0,1000.0,1.0,0,,0,84.0,0.0,Halk Egitim Merkezi (Hem),,,0,1.0,320.0,0,0.0,0.0,0.0,0.0,0.0
68301002,Kontrol,Hatay,Kadin,1980.0,Lise (Lise),0.0,,,,,1.0,0,,0,48.0,600.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,0,1.0,320.0,0,0.0,0.0,0.0,0.0,0.0
68097055,Deney,Ankara,Kadin,1992.0,Lise (Lise),0.0,,,,,1.0,0,,0,48.0,200.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0,0,1.0,300.0,0,0.0,0.0,0.0,0.0,0.0
65480006,Kontrol,Kirikkale,Erkek,1987.0,2 Yillik Yuksek Ogrenim,0.0,,,,,1.0,1,1.0,1,40.0,700.0,Meslek Lisesi,,,0,0.0,300.0,1,891.5,1.0,1.0,1245.46,23.0
68304001,Kontrol,Hatay,Erkek,1984.0,Lise (Lise),0.0,,1,60.0,250.0,1.0,0,,0,54.0,500.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,0,1.0,320.0,0,0.0,0.0,0.0,0.0,0.0
65749011,Kontrol,Eskisehir,Erkek,1985.0,Universite - Lisans Derecesi,0.0,,,,,1.0,0,,1,48.0,800.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,1,0.0,760.0,0,0.0,0.0,0.0,0.0,0.0
65687036,Deney,Gaziantep,,,,,,,,,1.0,0,,,,,Universite,1.0,1.0,0,0.0,600.0,0,0.0,0.0,0.0,0.0,0.0
67579008,Kontrol,Istanbul,Kadin,1990.0,2 Yillik Yuksek Ogrenim,0.0,,,,,1.0,1,0.0,0,55.0,600.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,1,0.0,480.0,1,4.0,0.0,1.0,578.85,32.0
68097042,Deney,Ankara,Kadin,1979.0,2 Yillik Yuksek Ogrenim,0.0,,1,60.0,500.0,1.0,1,1.0,1,60.0,750.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0,0,1.0,300.0,1,958.34,0.0,0.0,0.0,49.0
68158027,Kontrol,Ankara,Erkek,1984.0,Universite - Lisans Derecesi,0.0,,99.0,48.0,450.0,0.0,,,,,,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,1,1.0,300.0,0,0.0,0.0,0.0,0.0,
65687007,Kontrol,Gaziantep,,,,,,,,,1.0,0,,0,60.0,500.0,Universite,,,0,0.0,600.0,0,0.0,0.0,0.0,0.0,0.0
68405025,Kontrol,Istanbul,Kadin,1995.0,Ortaokul/ Ortaokul (8 Yil),0.0,,0,72.0,200.0,1.0,0,,,,,Kamu Ofisi,,,0,0.0,400.0,1,448.4,1.0,1.0,510.9,0.0
66922048,Deney,Ankara,Kadin,1975.0,Universite - Lisans Derecesi,0.0,,1,60.0,600.0,1.0,1,1.0,1,60.0,1000.0,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0,0,0.0,120.0,1,891.5,1.0,1.0,1021.5,55.0
65042021,Kontrol,Erzurum,Kadin,1985.0,Ilkokul (5 Yil),0.0,,,,,0.0,,,,,,Kamu Ofisi,,,1,1.0,320.0,1,1287.47,1.0,1.0,1678.58,
65240025,Kontrol,Kayseri,Kadin,1983.0,Lise (Lise),0.0,,,,,1.0,0,,,,,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,,1,0.0,160.0,0,0.0,0.0,0.0,0.0,0.0
65293037,Deney,Denizli,Erkek,1974.0,Ilkokul (5 Yil),0.0,,1,80.0,600.0,1.0,0,,1,60.0,600.0,Universite,1.0,1.0,0,0.0,180.0,0,0.0,0.0,0.0,0.0,0.0
65293010,Kontrol,Denizli,Erkek,1982.0,Meslek Yuksekokulu,0.0,,,,,1.0,0,,,,,Universite,,,0,0.0,180.0,0,0.0,1.0,1.0,1443.14,0.0
65497021,Deney,Kirikkale,Erkek,1988.0,Meslek Yuksekokulu,0.0,,0,56.0,780.0,1.0,0,,1,48.0,900.0,Meslek Lisesi,1.0,1.0,0,0.0,300.0,1,86.17,0.0,1.0,2667.17,0.0
67842030,Deney,Istanbul,Erkek,1987.0,2 Yillik Yuksek Ogrenim,1.0,0.0,0,72.0,500.0,1.0,1,1.0,1,72.0,700.0,Universite,0.0,0.0,1,0.0,350.0,1,905.0,1.0,1.0,1050.0,55.0
