id,kursu_veren_kurum,kursu_tamamlama_durumu,sertifika_alma_durumu
64264019,Kamu Ofisi,,
67034028,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68301005,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64300016,Meslek Lisesi,,
64347012,Kamu Ofisi,,
64244006,Meslek Lisesi,,
66891034,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
67407022,Mesleki Egitim Ve Ogretim Merkezi (Mem),,
67032012,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
66809043,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64281031,Meslek Lisesi,1.0,1.0
67843020,Universite,,
66922062,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
65459029,Halk Egitim Merkezi (Hem),1.0,1.0
65882018,Meslek Lisesi,,
66086047,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
68304054,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,0.0
64431016,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64263009,Halk Egitim Merkezi (Hem),,
64373021,"Kamu Ofisi, Meslek Lisesi",1.0,1.0
66922066,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
67803043,Ortaokul (Universite),1.0,1.0
65461024,Meslek Lisesi,1.0,1.0
65179020,Meslek Lisesi,1.0,1.0
65179023,Meslek Lisesi,1.0,1.0
64300020,Meslek Lisesi,,
67407043,Mesleki Egitim Ve Ogretim Merkezi (Mem),0.0,0.0
66542007,Meslek Lisesi,,
64281003,Meslek Lisesi,,
65496027,Meslek Lisesi,1.0,1.0
68158065,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64337022,Kamu Ofisi,,
68097018,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67289075,Kamu Ofisi,1.0,1.0
64298033,Meslek Lisesi,1.0,0.0
67703035,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
65474004,Halk Egitim Merkezi (Hem),,
68301002,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68097055,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
65480006,Meslek Lisesi,,
68304001,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65749011,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65687036,Universite,1.0,1.0
67579008,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68097042,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
68158027,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65687007,Universite,,
68405025,Kamu Ofisi,,
66922048,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
65042021,Kamu Ofisi,,
65240025,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65293037,Universite,1.0,1.0
65293010,Universite,,
65497021,Meslek Lisesi,1.0,1.0
67842030,Universite,0.0,0.0
65687021,Universite,1.0,1.0
62617028,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
65358013,Halk Egitim Merkezi (Hem),,
67700029,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
68441036,Kamu Ofisi,0.0,0.0
68233033,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
68158060,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64344007,Kamu Ofisi,,
64068028,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
59026006,Kamu Ofisi,,
60409036,Universite,1.0,1.0
65043039,Kamu Ofisi,1.0,1.0
67032071,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64186037,Universite,1.0,1.0
65434030,Stk'Lar,0.0,0.0
68301016,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67289023,Kamu Ofisi,,
64344013,Kamu Ofisi,,
64354030,Kamu Ofisi,0.0,0.0
64209042,Mesleki Egitim Ve Ogretim Merkezi (Mem),1.0,1.0
66809010,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
66809005,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
60929026,Universite,1.0,1.0
64431040,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
65358004,Halk Egitim Merkezi (Hem),,
67032028,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
66837026,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
65476041,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
68158077,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
66922038,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67407038,Mesleki Egitim Ve Ogretim Merkezi (Mem),0.0,0.0
64330021,Kamu Ofisi,1.0,1.0
60929010,Universite,,
65293028,Universite,1.0,1.0
65043036,Kamu Ofisi,0.0,0.0
66303027,Meslek Lisesi,1.0,1.0
64361009,Meslek Lisesi,,
67577028,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
65493018,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68158035,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65434007,Stk'Lar,,
68096036,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64343020,Kamu Ofisi,,
64357067,Kamu Ofisi,0.0,0.0
67803039,Ortaokul (Universite),1.0,1.0
68302033,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64283008,Kamu Ofisi,,
67032005,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67034039,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
67573017,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65882010,Meslek Lisesi,,
67288032,Kamu Ofisi,1.0,1.0
64281037,Meslek Lisesi,1.0,1.0
64373038,"Kamu Ofisi, Meslek Lisesi",0.0,0.0
64373014,"Kamu Ofisi, Meslek Lisesi",,
64431038,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67034017,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64186049,Universite,0.0,0.0
68119032,Ozel Isletme,1.0,1.0
64431034,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64284011,Meslek Lisesi,,
64345004,Kamu Ofisi,,
64282021,Kamu Ofisi,0.0,0.0
67034065,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
