id,bilgisayar_kursu,muhasebe_kursu,kursun_suresi_saat
64264019,0,0.0,592.0
67034028,1,1.0,300.0
68301005,0,1.0,320.0
64300016,0,0.0,600.0
64347012,0,0.0,420.0
64244006,1,0.0,480.0
66891034,0,0.0,560.0
67407022,0,0.0,528.0
67032012,0,1.0,300.0
66809043,0,0.0,480.0
64281031,0,0.0,400.0
67843020,1,0.0,350.0
66922062,0,0.0,120.0
65459029,0,1.0,320.0
65882018,0,0.0,184.0
66086047,0,0.0,680.0
68304054,0,1.0,320.0
64431016,0,0.0,160.0
64263009,0,0.0,320.0
64373021,0,0.0,368.0
66922066,0,0.0,120.0
67803043,0,0.0,528.0
65461024,0,0.0,75.0
65179020,0,0.0,265.0
65179023,0,0.0,265.0
64300020,0,0.0,600.0
67407043,0,0.0,528.0
66542007,0,0.0,160.0
64281003,0,0.0,400.0
65496027,0,0.0,300.0
68158065,1,1.0,300.0
64337022,1,0.0,210.0
68097018,0,1.0,300.0
67289075,1,1.0,300.0
64298033,0,0.0,600.0
67703035,0,1.0,300.0
65474004,0,1.0,320.0
68301002,0,1.0,320.0
68097055,0,1.0,300.0
65480006,0,0.0,300.0
68304001,0,1.0,320.0
65749011,1,0.0,760.0
65687036,0,0.0,600.0
67579008,1,0.0,480.0
68097042,0,1.0,300.0
68158027,1,1.0,300.0
65687007,0,0.0,600.0
68405025,0,0.0,400.0
66922048,0,0.0,120.0
65042021,1,1.0,320.0
65240025,1,0.0,160.0
65293037,0,0.0,180.0
65293010,0,0.0,180.0
65497021,0,0.0,300.0
67842030,1,0.0,350.0
65687021,0,0.0,600.0
62617028,0,0.0,180.0
65358013,0,0.0,364.0
67700029,1,0.0,288.0
68441036,0,0.0,448.0
68233033,1,1.0,440.0
68158060,1,1.0,300.0
64344007,1,0.0,160.0
64068028,0,0.0,160.0
59026006,0,0.0,592.0
60409036,0,0.0,360.0
65043039,1,0.0,180.0
67032071,0,1.0,300.0
64186037,0,0.0,350.0
65434030,0,0.0,600.0
68301016,0,1.0,320.0
67289023,1,1.0,300.0
64344013,1,0.0,160.0
64354030,1,0.0,160.0
64209042,0,0.0,600.0
66809010,0,0.0,480.0
66809005,0,0.0,480.0
60929026,0,0.0,350.0
64431040,0,0.0,160.0
65358004,0,0.0,364.0
67032028,0,1.0,300.0
66837026,0,0.0,480.0
65476041,0,0.0,600.0
68158077,1,1.0,300.0
66922038,0,0.0,120.0
67407038,0,0.0,528.0
64330021,1,0.0,160.0
60929010,0,0.0,350.0
65293028,0,0.0,180.0
65043036,1,0.0,180.0
66303027,0,0.0,240.0
64361009,0,0.0,260.0
67577028,1,0.0,480.0
65493018,0,0.0,770.0
68158035,1,1.0,300.0
65434007,0,0.0,600.0
68096036,0,1.0,300.0
64343020,1,0.0,160.0
64357067,0,0.0,180.0
67803039,0,0.0,528.0
68302033,1,1.0,320.0
64283008,1,1.0,280.0
67032005,0,1.0,300.0
67034039,1,1.0,300.0
67573017,1,0.0,480.0
65882010,0,0.0,184.0
67288032,1,0.0,120.0
64281037,0,0.0,400.0
64373038,0,0.0,368.0
64373014,0,0.0,368.0
64431038,0,0.0,160.0
67034017,1,1.0,300.0
64186049,0,0.0,350.0
68119032,1,0.0,160.0
64431034,0,0.0,160.0
64284011,0,0.0,130.0
64345004,0,0.0,208.0
64282021,1,1.0,280.0
67034065,1,1.0,300.0
68304039,0,1.0,320.0
65358092,0,0.0,364.0
68097045,0,1.0,300.0
67289047,1,1.0,300.0
64247021,0,0.0,400.0
67700026,1,0.0,288.0
64352018,1,0.0,160.0
66922025,0,0.0,120.0
66891035,0,0.0,560.0
66264021,0,0.0,72.0
64357041,0,0.0,180.0
65232024,0,0.0,265.0
64283027,1,1.0,280.0
68097013,0,1.0,300.0
68357009,0,1.0,320.0
68304073,0,1.0,320.0
66086041,0,0.0,680.0
67845007,1,0.0,350.0
65358101,0,0.0,364.0
68357050,0,1.0,320.0
67034071,1,1.0,300.0
64344039,1,0.0,160.0
65043042,1,0.0,180.0
66922006,0,0.0,120.0
66922031,0,0.0,120.0
65358083,0,0.0,364.0
67032019,0,1.0,300.0
64174018,0,1.0,320.0
66451008,0,0.0,600.0
64338017,1,0.0,208.0
