id,grup,kurs_kodu,baseline_anket_tarihi,cinsiyet,dogum_yili,baseline_calisma_durumu_son_4hafta,baseline_calisma_durumu_20_saat,baseline_sgk_kaydi,baseline_calisma_saat_ort,baseline_calisma_aylik_gelir_ort,takip_tamamlama,takip_anket_tarihi,takip_calisma_durumu_son_4hafta,takip_calisma_durumu_20_saat,takip_sgk_kaydi,takip_calisma_saat_ort,takip_calisma_aylik_gelir_ort,kurs_yeni_yetenekler_ogretti,kurs_mevcut_yeteneklerimi_sertifikaladi,kurs_is_bulma_stratejileri_ogretti,kursu_kim_verdi,sgk_ocak_2012,sgk_agu_2013,sgk_agu_2013_gelir,kurs_tamamlama_durumu,kursa_katilim_gun_sayisi,CP_c12,CP_c13
65179021,1,65179,2010-11-26,Male,1993,No,,Yes,48.0,750.0,1.0,04/02/2012,No,,Yes,20.0,200.0,course did this,course did this,course did this,ISKUR,0.0,0.0,0.0,Yes,53.0,,
66303027,1,66303,2010-10-22,Female,1990,No,,,,,1.0,02/02/2012,No,,Yes,56.0,99999.0,course did not do this,course did this,course did not do this,ISKUR,1.0,1.0,1055.55,Yes,30.0,,
65480022,1,65480,2010-10-11,Male,1989,No,,,,,1.0,22/01/2012,No,,,,,,,,,0.0,0.0,0.0,Yes,60.0,,
65883011,2,65883,2010-10-22,Female,1983,No,,No,60.0,400.0,1.0,26/01/2012,No,,No,84.0,400.0,,,,,0.0,0.0,0.0,,,,
65358095,2,65358,2011-01-06,Female,1987,No,,No,72.0,450.0,1.0,25/02/2012,No,,No,60.0,600.0,,,,,0.0,0.0,0.0,,,,
65987029,1,65987,2010-10-22,Female,1987,No,,,,,1.0,11/02/2012,Yes,Yes,Yes,35.0,701.0,course did not do this,course did this,course did this,ISKUR,1.0,0.0,0.0,No,,,
65211016,2,65211,2010-09-30,Female,1988,No,,No,57.0,550.0,1.0,24/01/2012,No,,No,50.0,650.0,,,,ISKUR,0.0,0.0,0.0,,,,
64174026,1,64174,2010-09-23,Female,1989,No,,No,50.0,700.0,1.0,14/02/2012,Yes,Yes,Yes,60.0,1000.0,course did this,course did this,course did this,ISKUR,1.0,1.0,1021.5,Yes,52.0,,
64247004,2,64247,2010-11-01,Female,1981,No,,No,70.0,750.0,1.0,02/02/2012,Yes,Yes,Yes,50.0,1200.0,,,,,0.0,1.0,2479.63,,,,
64431034,1,64431,2010-10-14,Female,1987,No,,,,,1.0,25/01/2012,Yes,Yes,Yes,48.0,700.0,course did this,course did this,course did not do this,ISKUR,0.0,0.0,0.0,Yes,27.0,,
64260050,1,64260,2010-11-10,Female,1965,No,,,,,1.0,13/02/2012,No,,,,,course did this,course did this,course did not do this,ISKUR,0.0,0.0,0.0,Yes,59.0,,
67577017,2,67577,2010-11-30,Male,1985,No,,No,48.0,700.0,1.0,13/01/2012,No,,,,,,,,,0.0,0.0,0.0,,,,
64336029,1,64336,2010-09-30,Female,1986,No,,,,,1.0,30/01/2012,No,,Yes,90.0,800.0,course did this,course did not do this,course did this,ISKUR,1.0,0.0,0.0,Yes,31.0,,
68096024,1,68096,2011-01-04,Female,1985,No,,99.0,9999.0,,1.0,20/02/2012,No,,Yes,50.0,1000.0,,,,,0.0,1.0,1021.5,No,,,
64282012,2,64282,2010-10-11,Female,1983,No,,,,,1.0,09/02/2012,No,,,,,,,,,0.0,0.0,0.0,,,,
64248020,2,64248,2010-10-27,Female,1983,No,,Yes,72.0,600.0,1.0,14/02/2012,99.0,Yes,Yes,20.0,400.0,,,,,0.0,1.0,783.15,,,,
63066001,2,63066,2011-01-28,Male,1978,Yes,Yes,Yes,60.0,750.0,1.0,14/01/2012,Yes,No,Yes,48.0,1500.0,course did this,course did this,course did this,ISKUR,1.0,0.0,0.0,,,,
65883006,2,65883,2010-10-22,Female,1985,No,,Yes,45.0,600.0,1.0,24/01/2012,No,,Yes,60.0,500.0,,,,,0.0,0.0,0.0,,,,
68304029,2,68304,2010-12-08,Male,1989,Yes,No,No,60.0,400.0,1.0,12/02/2012,No,,No,48.0,500.0,,,,,0.0,1.0,533.94,,,,
67460001,2,67460,2010-11-23,Female,1976,No,,Yes,55.0,850.0,1.0,03/02/2012,No,,Yes,50.0,750.0,,,,,0.0,0.0,0.0,,,,
65753047,1,65753,2010-10-26,Female,1982,No,,No,72.0,650.0,1.0,24/02/2012,Yes,No,No,60.0,400.0,course did not do this,course did not do this,course did not do this,ISKUR,1.0,1.0,1062.36,Yes,66.0,,
65232026,1,65232,2010-10-13,Male,1986,No,,,,,1.0,18/02/2012,Yes,No,No,48.0,700.0,,,,,0.0,0.0,0.0,No,3.0,,
64358019,1,64358,2010-11-11,male  ,1987,No,,Yes,72.0,375.0,1.0,24/01/2012,No,,Yes,30.0,700.0,course did this,course did this,course did this,ISKUR,1.0,1.0,77.93,Yes,87.0,,
68444041,1,68444,2010-12-21,Female,1979,Yes,No,,,,1.0,29/02/2012,No,,,,,course did not do this,course did not do this,course did not do this,ISKUR,0.0,1.0,1818.41,Yes,33.0,,
66809047,1,66809,2010-11-04,Female,1977,No,,Yes,72.0,550.0,1.0,07/02/2012,No,,,,,course did this,course did this,course did this,ISKUR,0.0,0.0,0.0,Yes,80.0,,
65496025,1,65496,2010-10-21,Male,1986,No,,,,,1.0,24/01/2012,Yes,Yes,Yes,60.0,700.0,,,,,0.0,0.0,0.0,No,2.0,,
65753021,2,65753,2010-10-11,Female,1987,No,,Yes,60.0,1000.0,1.0,25/02/2012,Yes,Yes,Yes,45.0,750.0,,,,,1.0,1.0,1476.39,,,,
65240094,1,65240,2010-10-11,Female,1982,No,,No,60.0,420.0,1.0,18/02/2012,No,,No,30.0,800.0,course did this,course did this,course did this,ISKUR,1.0,0.0,0.0,Yes,24.0,,
65984004,2,65984,2010-10-13,Female,1971,No,,,,,1.0,16/01/2012,No,,No,40.0,600.0,,,,,0.0,0.0,0.0,,,,
68304077,1,68304,2010-12-09,Female,1988,No,,,,,1.0,13/02/2012,No,,,,,,,,,0.0,0.0,0.0,No,,,
64236013,1,64236,2010-09-24,Female,1987,No,,No,60.0,1000.0,1.0,17/02/2012,Yes,Yes,Yes,42.0,1000.0,,,,,0.0,0.0,0.0,No,,,
60409017,2,60409,2010-09-30,Male,1974,Yes,No,Yes,48.0,550.0,1.0,30/01/2012,Yes,Yes,Yes,72.0,700.0,,,,,1.0,1.0,1021.5,,,,
65753013,2,65753,2011-01-06,Female,1984,No,,,,,1.0,07/02/2012,No,,No,50.0,850.0,,,,,0.0,0.0,0.0,,,,
64356015,2,64356,2010-10-13,Female,1990,No,,,,,1.0,16/02/2012,No,,,,,,,,,1.0,0.0,0.0,,,,
66542020,2,66542,2010-11-02,Female,1981,No,,Yes,70.0,700.0,1.0,10/02/2012,No,,Yes,48.0,650.0,,,,,0.0,0.0,0.0,,,,
64329038,1,64329,2010-09-28,Male,1975,No,,Yes,40.0,664.0,1.0,21/02/2012,Yes,Yes,Yes,48.0,950.0,course did not do this,course did this,course did not do this,ISKUR,1.0,1.0,1021.5,Yes,31.0,,
65358070,2,65358,2011-01-07,Female,1980,No,,,,,1.0,28/01/2012,No,,,,,,,,,0.0,0.0,0.0,,,,
64264013,2,64264,2010-10-15,Female,1983,No,,Yes,48.0,500.0,1.0,20/01/2012,No,,Yes,48.0,500.0,,,,,1.0,1.0,408.6,,,,
68301025,1,68301,2010-12-09,Female,1988,No,,,,,1.0,18/01/2012,Yes,Yes,Yes,60.0,700.0,course did this,course did this,course did this,ISKUR,1.0,0.0,0.0,Yes,53.0,,
64353028,1,64353,2010-10-06,Male,1985,No,,No,70.0,300.0,1.0,16/02/2012,Yes,Yes,Yes,60.0,700.0,course did not do this,course did not do this,course did this,ISKUR,1.0,1.0,1538.66,Yes,31.0,,
66922049,1,66922,2010-10-27,Male,1988,No,,Yes,48.0,750.0,1.0,23/02/2012,No,,Yes,48.0,650.0,course did this,course did this,course did not do this,ISKUR,0.0,0.0,0.0,No,,,
66264018,1,66264,2010-10-21,Male,1991,Yes,No,No,70.0,200.0,1.0,15/02/2012,No,,,,,,,,,0.0,0.0,0.0,No,,,
65473016,1,65473,2010-10-16,Male,1987,No,,No,54.0,320.0,1.0,31/01/2012,No,,No,36.0,400.0,course did this,course did this,course did not do this,ISKUR,0.0,1.0,2197.51,Yes,32.0,,
65883012,2,65883,2010-10-22,Male,1991,No,,Yes,80.0,60.0,1.0,17/01/2012,Yes,Yes,Yes,56.0,750.0,,,,,1.0,0.0,0.0,,,,
64373029,1,64373,2010-11-30,Male,1990,Yes,Yes,No,55.0,300.0,1.0,01/02/2012,Yes,Yes,No,48.0,1000.0,course did this,course did this,course did this,ISKUR,0.0,1.0,900.29,Yes,43.0,,
68444002,2,68444,2010-12-20,Female,1986,No,,No,72.0,200.0,1.0,26/01/2012,Yes,Yes,Yes,40.0,650.0,,,,,1.0,1.0,1065.0,,,,
64264010,2,64264,2010-10-15,Female,1978,No,,,,,1.0,20/01/2012,Yes,Yes,Yes,60.0,700.0,,,,,1.0,0.0,0.0,,,,
68441017,2,68441,2011-01-10,Female,1987,No,,Yes,45.0,950.0,1.0,05/02/2012,Yes,Yes,Yes,65.0,1200.0,,,,,0.0,1.0,1626.31,,,,
67034026,2,67034,2010-10-28,Female,1969,No,,,,,1.0,02/03/2012,Yes,Yes,No,20.0,400.0,,,,,0.0,0.0,0.0,,,,
65232013,1,65232,2010-10-13,Male,1983,Yes,No,Yes,50.0,577.0,1.0,20/02/2012,Yes,No,,,,,,,,1.0,1.0,1021.5,No,2.0,,
68405035,1,68405,2010-12-16,  Female ,1988,No,,,,,1.0,31/01/2012,Yes,Yes,,,,course did this,course did this,course did this,ISKUR,0.0,0.0,0.0,Yes,78.0,,
64067029,1,64067,2010-10-14,FEMALE,1972,No,,Yes,60.0,2000.0,1.0,07/02/2012,No,,Yes,60.0,1300.0,course did this,course did this,course did this,ISKUR,1.0,0.0,0.0,Yes,32.0,,
65358123,1,65358,2010-10-13,Female,1962,No,,,,,1.0,25/02/2012,No,,,,,course did this,course did this,course did this,ISKUR,0.0,0.0,0.0,Yes,61.0,,
65984075,1,65984,2010-10-13,Female,1973,Yes,Yes,No,25.0,400.0,1.0,08/02/2012,No,,No,54.0,200.0,course did this,course did this,course did this,ISKUR,0.0,0.0,0.0,Yes,93.0,,
64353024,1,64353,2010-10-08,male  ,1991,No,,No,48.0,300.0,1.0,30/01/2012,No,,,,,course did this,course did this,course did not do this,ISKUR,0.0,0.0,0.0,Yes,33.0,,
64329018,2,64329,2010-09-29,Female,1975,No,,No,40.0,400.0,1.0,09/02/2012,Yes,Yes,Yes,40.0,700.0,,,,,1.0,0.0,0.0,,,,
66891011,2,66891,2010-11-03,male  ,1981,No,,Yes,60.0,1500.0,1.0,22/02/2012,Yes,Yes,Yes,40.0,2500.0,,,,,0.0,0.0,0.0,,,,
64283010,2,64283,2010-10-11,Female,1979,No,,No,60.0,500.0,1.0,20/02/2012,No,,Yes,72.0,1000.0,,,,,1.0,1.0,1573.32,,,,
66922027,2,66922,2010-10-28,Male,1985,No,,Yes,70.0,700.0,1.0,23/02/2012,Yes,Yes,Yes,45.0,970.0,,,,,1.0,1.0,3226.09,,,,
64298042,1,64298,2010-10-19,Male,1992,Yes,No,No,84.0,450.0,1.0,19/02/2012,Yes,Yes,Yes,45.0,750.0,,,,,1.0,0.0,0.0,Yes,,,
68304020,2,68304,2010-12-09,Male,1976,No,,No,56.0,800.0,1.0,16/02/2012,Yes,Yes,Yes,76.0,701.0,course did this,course did this,course did this,NGO/Association,1.0,1.0,1021.5,,,,
66542031,1,66542,2010-11-02,Female,1988,No,,,,,1.0,26/01/2012,No,,,,,course did not do this,course did this,course did this,ISKUR,0.0,0.0,0.0,Yes,20.0,,
64244027,1,64244,2010-09-28,Female,1965,No,,,,,1.0,03/02/2012,Yes,No,No,100.0,1200.0,course did not do this,course did this,course did this,ISKUR,0.0,0.0,0.0,Yes,77.0,,
68302009,2,68302,2010-12-28,Female,1981,No,,,,,1.0,16/02/2012,No,,,,,course did this,course did this,course did this,"Government (MoNE, Universities)",0.0,0.0,0.0,,,,
60983015,2,60983,2010-10-01,Male,1993,No,,Yes,60.0,600.0,1.0,16/01/2012,Yes,Yes,Yes,51.0,800.0,,,,,0.0,1.0,493.87,,,,
67289043,1,67289,2010-12-24,Male,1979,No,,Yes,42.0,200.0,1.0,23/02/2012,No,,,,,course did this,course did this,course did this,ISKUR,0.0,0.0,0.0,Yes,60.0,,
67289022,2,67289,2010-12-25,Female,1986,No,,,,,1.0,15/02/2012,No,,Yes,60.0,1300.0,,,,,1.0,1.0,4220.11,,,,
67845027,1,67845,2010-12-07,Male,1972,No,,No,48.0,1000.0,1.0,10/01/2012,Yes,Yes,No,40.0,1300.0,course did this,course did not do this,course did this,"Government (MoNE, Universities)",0.0,1.0,1050.0,Yes,56.0,,
62617027,1,62617,2010-11-25,Female,1970,No,,Yes,55.0,1000.0,1.0,15/02/2012,Yes,No,Yes,30.0,650.0,course did this,course did this,course did this,ISKUR,1.0,0.0,0.0,Yes,30.0,,
68405034,1,68405,2010-12-16,Female,1992,No,,,,,1.0,15/02/2012,No,,Yes,60.0,750.0,course did not do this,course did this,course did not do this,ISKUR,1.0,1.0,170.25,Yes,78.0,,
67683031,1,67683,2010-12-22,Female,1982,No,,No,50.0,700.0,1.0,05/01/2012,No,,No,55.0,700.0,course did this,course did this,course did not do this,ISKUR,0.0,0.0,0.0,Yes,31.0,,
65984057,2,65984,2010-10-13,Female,1982,No,,Yes,40.0,700.0,1.0,15/02/2012,Yes,Yes,Yes,48.0,800.0,,,,,1.0,0.0,0.0,,,,
65240058,2,65240,2010-10-11,Female,1988,No,,,,,1.0,27/01/2012,No,,,,,,,,,0.0,0.0,0.0,,,,
65211001,2,65211,2010-09-30,Male,1988,No,,Yes,70.0,550.0,1.0,28/01/2012,Yes,Yes,Yes,84.0,900.0,,,,,1.0,1.0,1021.5,,,,
64357003,2,64357,2010-10-29,Female,1973,No,,,,,1.0,19/02/2012,No,,,,,,,,,1.0,1.0,1021.5,,,,
64344008,2,64344,2010-09-29,Male,1987,Yes,No,,,,1.0,20/02/2012,Yes,Yes,Yes,45.0,1000.0,course did this,course did this,course did this,Private training company/college,1.0,1.0,1807.5,,,,
