id,2012_yil_sonu_sgk,2012_yil_sonu_resmi_gelir,ocak_2012_sgk,agustos_2013_sgk,agustos_2013_gelir,mesleki_durum
64264019,0,0.0,0.0,0.0,0.0,0.0
67034028,1,1500.0,1.0,1.0,3873.48,68.0
68301005,0,0.0,0.0,0.0,0.0,0.0
64300016,0,0.0,0.0,0.0,0.0,0.0
64347012,1,891.5,1.0,1.0,681.0,23.0
64244006,0,0.0,0.0,0.0,0.0,
66891034,1,3.0,0.0,1.0,1327.69,45.0
67407022,1,743.75,1.0,0.0,0.0,25.0
67032012,1,897.41,0.0,0.0,0.0,49.0
66809043,0,0.0,0.0,0.0,0.0,0.0
64281031,1,1.0,0.0,1.0,1159.55,0.0
67843020,0,0.0,0.0,0.0,0.0,0.0
66922062,1,2105.0,1.0,1.0,3366.8,55.0
65459029,0,0.0,0.0,0.0,0.0,0.0
65882018,0,0.0,0.0,0.0,0.0,0.0
66086047,1,889.5,1.0,0.0,0.0,43.0
68304054,1,891.5,0.0,1.0,1021.5,43.0
64431016,1,5.0,1.0,0.0,0.0,38.0
64263009,0,0.0,0.0,0.0,0.0,0.0
64373021,0,0.0,0.0,1.0,1945.21,0.0
66922066,0,0.0,1.0,0.0,0.0,0.0
67803043,0,0.0,0.0,0.0,0.0,32.0
65461024,1,889.5,1.0,1.0,1634.53,32.0
65179020,1,1021.52,1.0,1.0,1030.0,34.0
65179023,1,1652.51,1.0,1.0,1881.92,32.0
64300020,1,5.0,1.0,1.0,1121.26,0.0
67407043,0,0.0,0.0,1.0,1035.0,
66542007,0,0.0,0.0,1.0,1025.0,0.0
64281003,0,0.0,0.0,0.0,0.0,0.0
65496027,1,1.0,0.0,1.0,783.15,0.0
68158065,1,858.95,1.0,1.0,1049.07,
64337022,0,0.0,0.0,0.0,0.0,0.0
68097018,1,4.0,1.0,1.0,1645.8,0.0
67289075,0,0.0,0.0,0.0,0.0,0.0
64298033,1,5.0,1.0,0.0,0.0,34.0
67703035,0,0.0,0.0,0.0,0.0,0.0
65474004,0,0.0,0.0,0.0,0.0,0.0
68301002,0,0.0,0.0,0.0,0.0,0.0
68097055,0,0.0,0.0,0.0,0.0,0.0
65480006,1,891.5,1.0,1.0,1245.46,23.0
68304001,0,0.0,0.0,0.0,0.0,0.0
65749011,0,0.0,0.0,0.0,0.0,0.0
65687036,0,0.0,0.0,0.0,0.0,0.0
67579008,1,4.0,0.0,1.0,578.85,32.0
68097042,1,958.34,0.0,0.0,0.0,49.0
68158027,0,0.0,0.0,0.0,0.0,
65687007,0,0.0,0.0,0.0,0.0,0.0
68405025,1,448.4,1.0,1.0,510.9,0.0
66922048,1,891.5,1.0,1.0,1021.5,55.0
65042021,1,1287.47,1.0,1.0,1678.58,
65240025,0,0.0,0.0,0.0,0.0,0.0
65293037,0,0.0,0.0,0.0,0.0,0.0
65293010,0,0.0,1.0,1.0,1443.14,0.0
65497021,1,86.17,0.0,1.0,2667.17,0.0
67842030,1,905.0,1.0,1.0,1050.0,55.0
65687021,1,64.1,1.0,1.0,1021.5,0.0
62617028,1,912.95,1.0,1.0,1420.0,43.0
65358013,0,0.0,0.0,0.0,0.0,0.0
67700029,0,0.0,0.0,0.0,0.0,45.0
68441036,0,0.0,0.0,0.0,0.0,0.0
68233033,1,891.5,1.0,1.0,1021.5,
68158060,1,1051.49,0.0,1.0,1537.47,49.0
64344007,1,966.36,0.0,1.0,1733.32,50.0
64068028,0,0.0,0.0,0.0,0.0,0.0
59026006,1,888.5,1.0,1.0,1513.82,43.0
60409036,0,0.0,1.0,1.0,2022.1,45.0
65043039,1,1163.36,1.0,0.0,0.0,45.0
67032071,0,0.0,0.0,0.0,0.0,0.0
64186037,1,4.0,0.0,1.0,1178.54,0.0
65434030,1,888.5,0.0,0.0,0.0,43.0
68301016,0,0.0,1.0,0.0,0.0,0.0
67289023,1,890.5,1.0,1.0,1822.06,0.0
64344013,0,0.0,0.0,0.0,0.0,
64354030,1,888.5,1.0,0.0,0.0,0.0
64209042,1,1345.62,1.0,1.0,1357.46,49.0
66809010,1,1.0,1.0,0.0,0.0,0.0
66809005,0,0.0,0.0,0.0,0.0,0.0
60929026,1,905.0,1.0,0.0,0.0,69.0
64431040,1,891.5,1.0,1.0,1740.0,32.0
65358004,0,0.0,0.0,0.0,0.0,0.0
67032028,1,887.5,1.0,1.0,1021.5,43.0
66837026,0,0.0,0.0,1.0,1258.91,49.0
65476041,0,0.0,0.0,1.0,1048.63,
68158077,1,592.0,1.0,0.0,0.0,45.0
66922038,0,0.0,0.0,0.0,0.0,0.0
67407038,0,0.0,0.0,0.0,0.0,38.0
64330021,0,0.0,0.0,0.0,0.0,0.0
60929010,0,0.0,0.0,0.0,0.0,32.0
65293028,0,0.0,0.0,0.0,0.0,0.0
65043036,1,1251.62,1.0,1.0,1674.97,43.0
66303027,1,2.0,1.0,1.0,1055.55,0.0
64361009,0,0.0,0.0,0.0,0.0,0.0
67577028,1,1336.62,1.0,0.0,0.0,68.0
65493018,1,1291.44,1.0,1.0,1309.2,45.0
68158035,1,4.0,0.0,1.0,2098.18,0.0
65434007,1,891.5,1.0,1.0,578.85,0.0
68096036,1,891.5,0.0,1.0,1021.5,45.0
64343020,1,31.55,1.0,0.0,0.0,32.0
64357067,1,891.5,1.0,1.0,1678.76,43.0
67803039,1,891.5,1.0,0.0,0.0,
68302033,0,0.0,0.0,0.0,0.0,0.0
64283008,1,891.5,1.0,0.0,0.0,45.0
67032005,0,0.0,0.0,0.0,0.0,0.0
67034039,1,899.32,0.0,1.0,1110.03,49.0
67573017,0,0.0,0.0,0.0,0.0,0.0
65882010,0,0.0,0.0,0.0,0.0,0.0
67288032,1,1165.98,0.0,1.0,1826.36,50.0
64281037,0,0.0,0.0,0.0,0.0,0.0
64373038,0,0.0,0.0,1.0,1023.0,0.0
64373014,0,0.0,0.0,0.0,0.0,0.0
64431038,0,0.0,0.0,0.0,0.0,0.0
67034017,1,59.1,1.0,1.0,1416.67,45.0
64186049,1,891.5,1.0,0.0,0.0,45.0
68119032,0,0.0,0.0,0.0,0.0,0.0
64431034,1,891.5,0.0,0.0,0.0,69.0
64284011,0,0.0,0.0,1.0,1538.66,0.0
64345004,1,891.5,1.0,1.0,1085.0,25.0
64282021,1,891.5,1.0,1.0,1021.5,45.0
67034065,0,0.0,0.0,0.0,0.0,0.0
68304039,0,0.0,0.0,1.0,1509.52,0.0
65358092,0,0.0,1.0,0.0,0.0,
68097045,1,1005.0,0.0,1.0,1500.0,49.0
67289047,0,0.0,1.0,0.0,0.0,0.0
64247021,0,0.0,0.0,0.0,0.0,0.0
67700026,0,0.0,1.0,0.0,0.0,
64352018,1,891.5,0.0,1.0,1021.5,32.0
66922025,0,0.0,0.0,0.0,0.0,69.0
66891035,0,0.0,0.0,0.0,0.0,
66264021,1,5.0,1.0,1.0,1022.0,23.0
64357041,0,0.0,0.0,0.0,0.0,0.0
65232024,1,1.0,0.0,1.0,2084.0,0.0
64283027,0,0.0,0.0,1.0,2540.36,0.0
68097013,1,1409.32,0.0,1.0,1623.33,0.0
68357009,1,466.31,1.0,1.0,2020.39,69.0
68304073,1,5.0,1.0,0.0,0.0,0.0
66086041,0,0.0,0.0,1.0,1021.5,0.0
67845007,1,4.0,1.0,1.0,1239.7,0.0
65358101,0,0.0,0.0,0.0,0.0,0.0
68357050,1,891.5,1.0,1.0,1021.5,
67034071,1,891.99,1.0,0.0,0.0,45.0
64344039,0,0.0,1.0,1.0,2501.35,0.0
65043042,1,1287.47,1.0,1.0,1732.51,49.0
66922006,1,2.0,1.0,1.0,1773.64,
66922031,1,464.0,1.0,1.0,1243.22,43.0
65358083,0,0.0,1.0,0.0,0.0,0.0
67032019,1,3.0,1.0,1.0,888.33,
64174018,1,995.7,1.0,1.0,2184.72,45.0
66451008,0,0.0,0.0,0.0,0.0,0.0
64338017,1,1179.84,1.0,1.0,1493.66,38.0
67034004,1,800.85,1.0,0.0,0.0,
67034022,0,0.0,1.0,1.0,1021.5,0.0
64067019,0,0.0,1.0,0.0,0.0,0.0
68405042,0,0.0,0.0,1.0,1050.0,0.0
65358048,0,0.0,0.0,0.0,0.0,0.0
65493017,1,1169.28,0.0,1.0,1524.67,0.0
65358100,0,0.0,0.0,0.0,0.0,0.0
64343033,0,0.0,0.0,0.0,0.0,69.0
60984013,0,0.0,0.0,0.0,0.0,0.0
65481003,1,1027.48,1.0,1.0,1150.46,49.0
64298035,1,921.05,1.0,1.0,1055.55,0.0
64373005,1,891.5,1.0,1.0,1363.34,55.0
64352010,0,0.0,0.0,0.0,0.0,0.0
68158054,1,1424.15,0.0,1.0,1955.33,38.0
65211012,1,891.5,1.0,1.0,1021.5,45.0
66922027,1,1624.1,1.0,1.0,3226.09,45.0
64244031,1,3.0,0.0,1.0,4190.71,0.0
68097001,1,1192.03,0.0,1.0,487.61,55.0
68097030,1,1122.21,0.0,1.0,1472.04,
65042048,0,0.0,0.0,0.0,0.0,0.0
67407044,1,1818.46,1.0,1.0,2210.75,38.0
64372001,1,814.67,1.0,1.0,1170.47,34.0
64264016,0,0.0,0.0,0.0,0.0,0.0
65232020,1,1508.67,1.0,1.0,1541.0,45.0
64067048,0,0.0,0.0,0.0,0.0,0.0
64296021,1,1226.96,1.0,1.0,1160.93,43.0
65753029,1,932.87,1.0,1.0,832.27,23.0
65988007,0,0.0,1.0,0.0,0.0,0.0
65434040,0,0.0,0.0,0.0,0.0,0.0
67805003,0,0.0,0.0,0.0,0.0,
65358159,0,0.0,0.0,0.0,0.0,0.0
67573048,0,0.0,0.0,0.0,0.0,25.0
67579041,1,2105.0,1.0,1.0,2175.66,55.0
67407030,1,2.0,0.0,0.0,0.0,0.0
67579038,1,1.0,1.0,0.0,0.0,38.0
65294011,0,0.0,1.0,0.0,0.0,0.0
67032063,0,0.0,0.0,1.0,1494.16,0.0
67032072,1,1095.43,1.0,0.0,0.0,0.0
65749020,1,1178.96,0.0,0.0,0.0,
67288017,0,0.0,,,,45.0
65493050,1,954.36,1.0,1.0,1021.5,43.0
68357005,0,0.0,0.0,0.0,0.0,0.0
65293015,0,0.0,1.0,0.0,0.0,25.0
67577043,1,4.0,0.0,1.0,459.81,
67703008,1,3.0,0.0,1.0,2081.54,55.0
67034068,1,939.96,1.0,1.0,1733.32,30.0
67407019,1,488.24,0.0,1.0,1242.5,45.0
67683020,0,0.0,0.0,0.0,0.0,0.0
65294007,1,1197.9,1.0,1.0,1748.47,45.0
65474017,1,1332.0,1.0,1.0,1942.0,45.0
65042024,0,0.0,0.0,0.0,0.0,0.0
