id,takip_anket_tamamlama,takip_son_4_hafta_gelir,takip_hafta_20+_calisma,takip_sgk_kaydi,takip_haftalik_calisma_saat_ort,takip_aylik_gelir_ort
64264019,1.0,0.0,,0.0,72.0,200.0
67034028,1.0,1.0,1.0,1.0,48.0,1000.0
68301005,1.0,0.0,,,,
64300016,1.0,0.0,,1.0,84.0,850.0
64347012,1.0,1.0,0.0,1.0,65.0,740.0
64244006,0.0,,,,,
66891034,1.0,1.0,0.0,0.0,48.0,700.0
67407022,1.0,1.0,1.0,1.0,60.0,750.0
67032012,1.0,1.0,1.0,1.0,40.0,75.0
66809043,1.0,0.0,,,,
64281031,1.0,0.0,,1.0,54.0,630.0
67843020,1.0,0.0,,1.0,48.0,650.0
66922062,1.0,1.0,1.0,1.0,50.0,725.0
65459029,1.0,0.0,,,,
65882018,1.0,0.0,,,,
66086047,1.0,1.0,1.0,1.0,60.0,700.0
68304054,1.0,1.0,1.0,1.0,84.0,600.0
64431016,1.0,1.0,1.0,1.0,45.0,700.0
64263009,1.0,0.0,,1.0,54.0,1500.0
64373021,1.0,0.0,,,,
66922066,1.0,0.0,,0.0,56.0,700.0
67803043,1.0,1.0,1.0,0.0,54.0,1250.0
65461024,1.0,1.0,1.0,1.0,56.0,1000.0
65179020,1.0,1.0,1.0,1.0,45.0,1300.0
65179023,1.0,1.0,1.0,1.0,27.0,99999.0
64300020,1.0,0.0,,1.0,48.0,650.0
67407043,0.0,,,,,
66542007,1.0,0.0,,,,
64281003,1.0,0.0,,1.0,51.0,1100.0
65496027,1.0,0.0,,,,
68158065,0.0,,,,,
64337022,1.0,0.0,,0.0,50.0,500.0
68097018,1.0,0.0,,1.0,102.0,750.0
67289075,1.0,0.0,,1.0,45.0,99999.0
64298033,1.0,1.0,1.0,1.0,45.0,800.0
67703035,1.0,0.0,,0.0,8.0,500.0
65474004,1.0,0.0,,0.0,84.0,0.0
68301002,1.0,0.0,,0.0,48.0,600.0
68097055,1.0,0.0,,0.0,48.0,200.0
65480006,1.0,1.0,1.0,1.0,40.0,700.0
68304001,1.0,0.0,,0.0,54.0,500.0
65749011,1.0,0.0,,1.0,48.0,800.0
65687036,1.0,0.0,,,,
67579008,1.0,1.0,0.0,0.0,55.0,600.0
68097042,1.0,1.0,1.0,1.0,60.0,750.0
68158027,0.0,,,,,
65687007,1.0,0.0,,0.0,60.0,500.0
68405025,1.0,0.0,,,,
66922048,1.0,1.0,1.0,1.0,60.0,1000.0
65042021,0.0,,,,,
65240025,1.0,0.0,,,,
65293037,1.0,0.0,,1.0,60.0,600.0
65293010,1.0,0.0,,,,
65497021,1.0,0.0,,1.0,48.0,900.0
67842030,1.0,1.0,1.0,1.0,72.0,700.0
65687021,1.0,0.0,,0.0,15.0,500.0
62617028,1.0,1.0,1.0,1.0,46.0,700.0
65358013,1.0,0.0,,,,
67700029,1.0,1.0,1.0,1.0,40.0,1600.0
68441036,1.0,0.0,,1.0,50.0,700.0
68233033,0.0,,,,,
68158060,1.0,1.0,0.0,,,
64344007,1.0,1.0,1.0,1.0,47.0,750.0
64068028,1.0,0.0,,,,
59026006,1.0,1.0,1.0,1.0,60.0,700.0
60409036,1.0,1.0,1.0,0.0,40.0,700.0
65043039,1.0,1.0,1.0,1.0,60.0,680.0
67032071,1.0,0.0,,1.0,54.0,150.0
64186037,1.0,0.0,,1.0,66.0,650.0
65434030,1.0,1.0,1.0,1.0,70.0,1600.0
68301016,1.0,0.0,,1.0,56.0,750.0
67289023,1.0,0.0,,0.0,55.0,4100.0
64344013,0.0,,,,,
64354030,1.0,0.0,,,,
64209042,1.0,1.0,1.0,1.0,84.0,1200.0
66809010,1.0,0.0,,0.0,60.0,350.0
66809005,1.0,0.0,,,,
60929026,1.0,1.0,1.0,1.0,22.0,1100.0
64431040,1.0,1.0,1.0,1.0,54.0,1700.0
65358004,1.0,0.0,,,,
67032028,1.0,1.0,1.0,1.0,54.0,99999.0
66837026,1.0,1.0,1.0,1.0,70.0,900.0
65476041,0.0,,,,,
68158077,1.0,1.0,0.0,1.0,66.0,700.0
66922038,1.0,0.0,,1.0,40.0,700.0
67407038,1.0,1.0,0.0,,,
64330021,1.0,0.0,,,,
60929010,1.0,1.0,0.0,0.0,50.0,150.0
65293028,1.0,0.0,,1.0,48.0,650.0
65043036,1.0,1.0,1.0,1.0,45.0,900.0
66303027,1.0,0.0,,1.0,56.0,99999.0
64361009,1.0,0.0,,0.0,60.0,99999.0
67577028,1.0,1.0,1.0,1.0,45.0,1000.0
65493018,1.0,1.0,1.0,1.0,40.0,1000.0
