id,kurs_tamamlama_durumu,kursa_katilim_gun_sayisi,CP_c12,CP_c13
65179021,Yes,53.0,,
66303027,Yes,30.0,,
65480022,Yes,60.0,,
65883011,,,,
65358095,,,,
65987029,No,,,
65211016,,,,
64174026,Yes,52.0,,
64247004,,,,
64431034,Yes,27.0,,
64260050,Yes,59.0,,
67577017,,,,
64336029,Yes,31.0,,
68096024,No,,,
64282012,,,,
64248020,,,,
63066001,,,,
65883006,,,,
68304029,,,,
67460001,,,,
65753047,Yes,66.0,,
65232026,No,3.0,,
64358019,Yes,87.0,,
68444041,Yes,33.0,,
66809047,Yes,80.0,,
65496025,No,2.0,,
65753021,,,,
65240094,Yes,24.0,,
65984004,,,,
68304077,No,,,
64236013,No,,,
60409017,,,,
65753013,,,,
64356015,,,,
66542020,,,,
64329038,Yes,31.0,,
65358070,,,,
64264013,,,,
68301025,Yes,53.0,,
64353028,Yes,31.0,,
66922049,No,,,
66264018,No,,,
65473016,Yes,32.0,,
65883012,,,,
64373029,Yes,43.0,,
68444002,,,,
64264010,,,,
68441017,,,,
67034026,,,,
65232013,No,2.0,,
68405035,Yes,78.0,,
64067029,Yes,32.0,,
65358123,Yes,61.0,,
65984075,Yes,93.0,,
64353024,Yes,33.0,,
64329018,,,,
66891011,,,,
64283010,,,,
66922027,,,,
64298042,Yes,,,
68304020,,,,
66542031,Yes,20.0,,
64244027,Yes,77.0,,
68302009,,,,
60983015,,,,
67289043,Yes,60.0,,
67289022,,,,
67845027,Yes,56.0,,
62617027,Yes,30.0,,
68405034,Yes,78.0,,
67683031,Yes,31.0,,
65984057,,,,
65240058,,,,
65211001,,,,
64357003,,,,
64344008,,,,
67573045,No,,,
68233024,,,,
64346015,,,,
65211017,,,,
68119020,Yes,27.0,,
68441045,Yes,88.0,,
65988019,,,,
64329036,No,15.0,,
64364024,Yes,64.0,,
64336041,Yes,31.0,,
66837006,,,,
65473008,,,,
66837006,,,,
65211035,Yes,25.0,,
65293028,Yes,28.0,,
67460003,,,,
64186021,,,,
66837006,,,,
64264028,No,,,
67034008,,,,
65476040,No,61.0,,
67032038,,,,
66891030,Yes,86.0,,
64260039,No,28.0,,
65481022,Yes,59.0,,
67407032,Yes,88.0,,
67803009,,,,
64344038,No,,,
65240018,,,,
65358015,,,,
68441024,,,,
67034068,Yes,58.0,,
65473018,No,,,
67034012,,,,
68158017,,,,
65687001,,,,
64347004,,,,
65042022,,,,
64300035,No,76.0,,
64068047,Yes,32.0,,
68097047,Yes,60.0,,
67034063,Yes,60.0,,
65294020,,,,
68097048,Yes,60.0,,
65293012,,,,
68402050,Yes,48.0,,
65496012,,,,
64284027,No,,,
68097074,Yes,60.0,,
65496001,,,,
67803047,No,,,
65358058,,,,
65179016,,,,
64297045,Yes,48.0,,
64262044,Yes,57.0,,
65986018,No,,,
64343010,,,,
68441030,Yes,90.0,,
64236006,Yes,105.0,,
65240104,No,,,
64337021,,,,
64361013,No,,,
68449032,Yes,28.0,,
67843047,Yes,,,
65358040,,,,
65294027,Yes,32.0,,
66264034,Yes,12.0,,
64344012,,,,
67407029,Yes,88.0,,
67803046,Yes,82.0,,
64298020,,,,
65358122,Yes,61.0,,
64282005,,,,
65883015,,,,
65883029,Yes,24.0,,
60929028,No,,,
64248016,,,,
67032045,Yes,50.0,,
65294035,Yes,33.0,,
64336033,Yes,31.0,,
66086033,Yes,101.0,,
68304041,,,,
67803012,,,,
67573015,,,,
65987008,,,,
64248029,Yes,31.0,,
64343036,No,17.0,,
67845036,Yes,56.0,,
64260007,,,,
65358099,,,,
67845047,Yes,57.0,,
67683019,,,,
68233006,,,,
68386023,,,,
64209041,Yes,94.0,,
64357009,,,,
64067006,,,,
64273009,,,,
65179005,,,,
64353017,,,,
65749003,,,,
68097027,,,,
67032063,Yes,47.0,,
68449006,,,,
65358021,,,,
67289079,No,2.0,,
65749035,Yes,127.0,,
65043028,Yes,36.0,,
64345001,,,,
67460040,Yes,80.0,,
66542001,,,,
65043012,,,,
65358134,Yes,61.0,,
67032058,Yes,50.0,,
64247039,Yes,81.0,,
68357049,Yes,53.0,,
65473023,Yes,32.0,,
68441026,Yes,83.0,,
64297034,Yes,48.0,,
67034017,,,,
67683027,Yes,,,
65434038,No,,,
67683001,,,,
68444035,No,,,
64346026,Yes,32.0,,
68097031,,,,
65687040,Yes,75.0,,
64297037,Yes,45.0,,
67032036,,,,
60929012,,,,
65687021,Yes,75.0,,
64364019,Yes,69.0,,
64244031,Yes,77.0,,
64337028,No,,,
64343027,No,,,
67826031,Yes,54.0,,
66891017,,,,
68096011,,,,
65481024,Yes,60.0,,
64263046,No,,,
64347017,No,,,
68304038,,,,
65749017,,,,
59026014,,,,
64354037,No,10.0,,
67845041,Yes,57.0,,
64346034,No,,,
67460031,No,51.0,,
66303017,Yes,30.0,,
66837006,,,,
68444045,Yes,37.0,,
64283020,,,,
67573016,,,,
67826050,Yes,58.0,,
