id,sgk_ocak_2012,sgk_agu_2013,sgk_agu_2013_gelir
65179021,0.0,0.0,0.0
66303027,1.0,1.0,1055.55
65480022,0.0,0.0,0.0
65883011,0.0,0.0,0.0
65358095,0.0,0.0,0.0
65987029,1.0,0.0,0.0
65211016,0.0,0.0,0.0
64174026,1.0,1.0,1021.5
64247004,0.0,1.0,2479.63
64431034,0.0,0.0,0.0
64260050,0.0,0.0,0.0
67577017,0.0,0.0,0.0
64336029,1.0,0.0,0.0
68096024,0.0,1.0,1021.5
64282012,0.0,0.0,0.0
64248020,0.0,1.0,783.15
63066001,1.0,0.0,0.0
65883006,0.0,0.0,0.0
68304029,0.0,1.0,533.94
67460001,0.0,0.0,0.0
65753047,1.0,1.0,1062.36
65232026,0.0,0.0,0.0
64358019,1.0,1.0,77.93
68444041,0.0,1.0,1818.41
66809047,0.0,0.0,0.0
65496025,0.0,0.0,0.0
65753021,1.0,1.0,1476.39
65240094,1.0,0.0,0.0
65984004,0.0,0.0,0.0
68304077,0.0,0.0,0.0
64236013,0.0,0.0,0.0
60409017,1.0,1.0,1021.5
65753013,0.0,0.0,0.0
64356015,1.0,0.0,0.0
66542020,0.0,0.0,0.0
64329038,1.0,1.0,1021.5
65358070,0.0,0.0,0.0
64264013,1.0,1.0,408.6
68301025,1.0,0.0,0.0
64353028,1.0,1.0,1538.66
66922049,0.0,0.0,0.0
66264018,0.0,0.0,0.0
65473016,0.0,1.0,2197.51
65883012,1.0,0.0,0.0
64373029,0.0,1.0,900.29
68444002,1.0,1.0,1065.0
64264010,1.0,0.0,0.0
68441017,0.0,1.0,1626.31
67034026,0.0,0.0,0.0
65232013,1.0,1.0,1021.5
68405035,0.0,0.0,0.0
64067029,1.0,0.0,0.0
65358123,0.0,0.0,0.0
65984075,0.0,0.0,0.0
64353024,0.0,0.0,0.0
64329018,1.0,0.0,0.0
66891011,0.0,0.0,0.0
64283010,1.0,1.0,1573.32
66922027,1.0,1.0,3226.09
64298042,1.0,0.0,0.0
68304020,1.0,1.0,1021.5
66542031,0.0,0.0,0.0
64244027,0.0,0.0,0.0
68302009,0.0,0.0,0.0
60983015,0.0,1.0,493.87
67289043,0.0,0.0,0.0
67289022,1.0,1.0,4220.11
67845027,0.0,1.0,1050.0
62617027,1.0,0.0,0.0
68405034,1.0,1.0,170.25
67683031,0.0,0.0,0.0
65984057,1.0,0.0,0.0
65240058,0.0,0.0,0.0
65211001,1.0,1.0,1021.5
64357003,1.0,1.0,1021.5
64344008,1.0,1.0,1807.5
67573045,1.0,0.0,0.0
68233024,1.0,1.0,1022.0
64346015,0.0,0.0,0.0
65211017,0.0,1.0,1021.5
68119020,1.0,0.0,0.0
68441045,0.0,0.0,0.0
65988019,0.0,0.0,0.0
64329036,1.0,1.0,1147.0
64364024,1.0,1.0,1771.29
64336041,0.0,1.0,483.78
66837006,0.0,0.0,0.0
65473008,1.0,1.0,1327.16
66837006,0.0,0.0,0.0
65211035,0.0,0.0,0.0
65293028,0.0,0.0,0.0
67460003,0.0,0.0,0.0
64186021,1.0,0.0,0.0
66837006,0.0,0.0,0.0
64264028,1.0,0.0,0.0
67034008,1.0,1.0,1025.31
65476040,0.0,0.0,0.0
67032038,0.0,0.0,0.0
66891030,0.0,1.0,1123.65
64260039,0.0,0.0,0.0
65481022,0.0,1.0,1021.5
67407032,0.0,0.0,0.0
67803009,0.0,0.0,0.0
64344038,0.0,1.0,1021.5
65240018,1.0,0.0,0.0
65358015,0.0,0.0,0.0
68441024,0.0,0.0,0.0
67034068,1.0,1.0,1733.32
65473018,1.0,1.0,6000.0
67034012,0.0,1.0,1380.33
68158017,1.0,0.0,0.0
65687001,1.0,0.0,0.0
64347004,0.0,0.0,0.0
65042022,0.0,0.0,0.0
64300035,0.0,0.0,0.0
64068047,1.0,0.0,0.0
68097047,1.0,1.0,1398.78
67034063,1.0,0.0,0.0
65294020,0.0,1.0,1055.55
68097048,0.0,0.0,0.0
65293012,0.0,1.0,1644.26
68402050,0.0,0.0,0.0
65496012,1.0,1.0,1202.46
64284027,0.0,0.0,0.0
68097074,0.0,0.0,0.0
65496001,0.0,1.0,340.5
67803047,1.0,0.0,0.0
65358058,0.0,0.0,0.0
65179016,1.0,0.0,0.0
64297045,1.0,0.0,0.0
64262044,0.0,1.0,453.47
65986018,0.0,0.0,0.0
64343010,1.0,1.0,2511.6
68441030,0.0,0.0,0.0
64236006,1.0,1.0,953.4
65240104,0.0,1.0,1242.83
64337021,0.0,0.0,0.0
64361013,1.0,1.0,1152.05
68449032,0.0,0.0,0.0
67843047,1.0,1.0,649.17
65358040,1.0,0.0,0.0
65294027,1.0,0.0,0.0
66264034,1.0,1.0,1021.5
64344012,0.0,0.0,0.0
67407029,0.0,0.0,0.0
67803046,0.0,1.0,1087.41
64298020,0.0,0.0,0.0
65358122,0.0,0.0,0.0
64282005,1.0,0.0,0.0
65883015,0.0,0.0,0.0
65883029,1.0,0.0,0.0
60929028,1.0,1.0,1186.8
64248016,0.0,1.0,655.47
67032045,0.0,1.0,1645.59
65294035,0.0,1.0,2350.0
64336033,0.0,0.0,0.0
66086033,0.0,0.0,0.0
68304041,0.0,0.0,0.0
67803012,1.0,1.0,1133.27
67573015,0.0,0.0,0.0
65987008,1.0,0.0,0.0
64248029,0.0,0.0,0.0
64343036,1.0,1.0,1804.43
67845036,0.0,1.0,167.85
64260007,0.0,1.0,408.6
65358099,0.0,0.0,0.0
67845047,1.0,0.0,0.0
67683019,1.0,1.0,1374.83
68233006,0.0,0.0,0.0
68386023,1.0,0.0,0.0
64209041,0.0,0.0,0.0
64357009,0.0,1.0,172.8
64067006,0.0,0.0,0.0
64273009,0.0,1.0,447.89
65179005,1.0,0.0,0.0
64353017,0.0,1.0,1654.14
65749003,0.0,1.0,2883.01
68097027,1.0,1.0,1296.11
67032063,0.0,1.0,1494.16
68449006,0.0,1.0,1411.89
65358021,0.0,0.0,0.0
67289079,0.0,1.0,1350.0
65749035,1.0,1.0,1297.1
65043028,0.0,1.0,34.05
64345001,1.0,1.0,1779.67
67460040,1.0,1.0,1455.19
66542001,0.0,1.0,1336.49
65043012,0.0,1.0,1201.74
65358134,1.0,1.0,1363.16
67032058,0.0,1.0,1021.5
64247039,0.0,1.0,1680.87
68357049,1.0,1.0,533.94
65473023,0.0,0.0,0.0
68441026,0.0,0.0,0.0
64297034,0.0,0.0,0.0
67034017,1.0,1.0,1416.67
67683027,1.0,0.0,0.0
65434038,1.0,1.0,1248.31
67683001,0.0,0.0,0.0
68444035,1.0,0.0,0.0
64346026,1.0,1.0,2019.71
68097031,0.0,0.0,0.0
65687040,1.0,1.0,1021.5
64297037,1.0,1.0,1021.5
67032036,0.0,1.0,1281.43
60929012,1.0,1.0,3343.78
65687021,1.0,1.0,1021.5
64364019,1.0,1.0,1021.5
64244031,0.0,1.0,4190.71
64337028,0.0,1.0,146.41
64343027,1.0,1.0,1021.5
67826031,1.0,0.0,0.0
66891017,0.0,0.0,0.0
68096011,0.0,0.0,0.0
65481024,1.0,1.0,1233.0
64263046,0.0,1.0,476.7
64347017,1.0,1.0,1021.5
68304038,0.0,0.0,0.0
65749017,1.0,0.0,0.0
59026014,0.0,0.0,0.0
64354037,1.0,1.0,1050.0
67845041,0.0,1.0,1100.0
64346034,0.0,1.0,1555.52
67460031,0.0,1.0,2793.68
66303017,1.0,1.0,1055.55
66837006,0.0,0.0,0.0
68444045,0.0,0.0,0.0
64283020,0.0,0.0,0.0
67573016,0.0,0.0,0.0
67826050,1.0,1.0,170.25
64262024,0.0,0.0,0.0
66809034,0.0,1.0,1699.73
66837020,0.0,1.0,1171.32
67703002,1.0,1.0,1606.29
64282016,0.0,0.0,0.0
65984049,0.0,0.0,0.0
64209013,0.0,1.0,1756.76
64357075,1.0,0.0,0.0
68449036,0.0,0.0,0.0
64364014,1.0,0.0,0.0
67289044,1.0,1.0,476.93
65984050,0.0,0.0,0.0
64263023,0.0,0.0,0.0
64209011,0.0,0.0,0.0
65043044,1.0,1.0,1733.69
67289037,0.0,0.0,0.0
64346037,1.0,1.0,1021.5
64357019,1.0,1.0,2145.26
64283005,1.0,0.0,0.0
67799049,0.0,1.0,1050.0
68304058,1.0,1.0,1678.62
65358044,0.0,0.0,0.0
68402032,0.0,0.0,0.0
66922079,1.0,1.0,2196.24
66837036,1.0,0.0,0.0
66382002,0.0,1.0,205.0
64298009,1.0,1.0,1137.76
65358073,1.0,1.0,1021.5
68405040,0.0,0.0,0.0
65436024,0.0,1.0,1135.95
64209021,0.0,0.0,0.0
68444020,1.0,1.0,1032.85
59026021,1.0,1.0,1212.27
65497001,1.0,1.0,3414.33
64262035,0.0,0.0,0.0
62617023,0.0,1.0,2325.97
66922011,1.0,0.0,0.0
67700041,1.0,1.0,1021.5
64431033,1.0,0.0,0.0
67843040,0.0,0.0,0.0
64263042,0.0,0.0,0.0
67034079,1.0,1.0,1401.8
68441023,0.0,0.0,0.0
59026039,1.0,0.0,0.0
64260042,0.0,0.0,0.0
68441013,1.0,0.0,0.0
67683047,0.0,0.0,0.0
66837006,0.0,0.0,0.0
64260012,0.0,0.0,0.0
67289045,0.0,0.0,0.0
64345013,1.0,1.0,314.33
65240023,0.0,1.0,1310.4
68301014,0.0,0.0,0.0
68405043,0.0,0.0,0.0
67034006,1.0,0.0,0.0
67289057,0.0,1.0,206.57
67703021,1.0,1.0,1551.57
67786012,0.0,1.0,2050.18
64264014,1.0,0.0,0.0
67579032,1.0,1.0,1264.61
66837006,0.0,0.0,0.0
64295047,1.0,1.0,1123.65
65883014,0.0,0.0,0.0
66922066,1.0,0.0,0.0
64297026,1.0,1.0,1021.5
66837006,0.0,0.0,0.0
65358176,0.0,0.0,0.0
68357002,0.0,0.0,0.0
64273006,1.0,1.0,1086.13
65986020,1.0,1.0,1050.0
65883036,1.0,0.0,0.0
64174018,1.0,1.0,2184.72
68402020,0.0,0.0,0.0
65436003,0.0,0.0,0.0
67289077,0.0,1.0,240.33
64356039,1.0,1.0,2675.62
66451047,1.0,0.0,0.0
64244040,0.0,1.0,1156.32
64337047,0.0,0.0,0.0
65434014,1.0,0.0,0.0
68441001,1.0,1.0,987.45
65461008,0.0,1.0,1063.41
60983027,1.0,0.0,0.0
67577035,1.0,1.0,1794.38
64330034,0.0,0.0,0.0
64356025,1.0,0.0,0.0
64264030,1.0,0.0,0.0
64247009,0.0,1.0,1412.0
65988030,1.0,0.0,0.0
65240031,1.0,1.0,1106.63
60409031,1.0,1.0,2103.42
66891012,1.0,1.0,1292.54
64329016,0.0,0.0,0.0
65358102,0.0,0.0,0.0
68233038,0.0,0.0,0.0
64357076,1.0,0.0,0.0
65984046,0.0,0.0,0.0
65687017,1.0,0.0,0.0
67842048,1.0,1.0,1050.0
60929015,1.0,1.0,1398.78
64247030,1.0,1.0,1575.0
68158060,0.0,1.0,1537.47
65179019,1.0,1.0,754.09
66837027,1.0,0.0,0.0
64067023,0.0,0.0,0.0
64262012,0.0,0.0,0.0
67034048,1.0,0.0,0.0
67700044,0.0,1.0,241.5
68096006,0.0,0.0,0.0
65984058,0.0,1.0,755.33
63066037,0.0,0.0,0.0
68158025,0.0,1.0,1021.5
67288024,0.0,0.0,0.0
68357016,0.0,1.0,1021.5
68402049,1.0,1.0,783.15
65984015,0.0,0.0,0.0
68449027,0.0,0.0,0.0
68357009,1.0,1.0,2020.39
64352036,0.0,0.0,0.0
65358080,0.0,0.0,0.0
64247020,0.0,0.0,0.0
67843031,1.0,1.0,69.0
65497016,0.0,1.0,1021.5
64283011,0.0,0.0,0.0
68158076,0.0,0.0,0.0
65987026,1.0,1.0,1021.5
67579004,0.0,0.0,0.0
64344019,1.0,1.0,1637.59
65473028,1.0,1.0,1313.65
67573041,1.0,0.0,0.0
67842037,1.0,0.0,0.0
67803044,0.0,1.0,1398.78
68158038,1.0,0.0,0.0
65883019,1.0,0.0,0.0
65240082,0.0,0.0,0.0
65984102,0.0,0.0,0.0
68096008,0.0,1.0,1327.0
65461004,1.0,1.0,1021.5
64260043,0.0,0.0,0.0
67289055,1.0,0.0,0.0
68386029,0.0,0.0,0.0
67786019,0.0,0.0,0.0
64337041,0.0,0.0,0.0
64329026,0.0,0.0,0.0
67700034,1.0,1.0,1050.0
67577010,0.0,0.0,0.0
67683020,0.0,0.0,0.0
67700035,1.0,1.0,1551.57
64067002,0.0,0.0,0.0
68096038,0.0,0.0,0.0
64431007,1.0,1.0,1021.5
67826023,0.0,1.0,1055.55
66922054,1.0,1.0,1021.5
64338028,1.0,0.0,0.0
65497007,1.0,0.0,0.0
68386012,0.0,0.0,0.0
67786040,1.0,1.0,1021.5
68357041,0.0,0.0,0.0
