id,grup,takip_anket_tarih,takip_anket_tamamlama,takip_son_4_hafta_gelir,takip_20_saat_calisma,takip_sgk_kaydi,takip_haftalik_calisma_saat_ort,takip_aylik_gelir_ort,takip_kurs_yeni_yetenekler_ogretti,takip_kurs_yeteneklerimi_sertifikaladi,takip_kurs_is_bulmam_icin_strateji_ogretti,takip_egitimi_kim_verdi
68097055,Deney,2012-03-01,1.0,0.0,,0.0,48.0,200.0,,,,
64068028,Deney,2012-03-01,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
66922038,Kontrol,2012-03-02,1.0,0.0,,1.0,40.0,700.0,,,,
65493018,Kontrol,2012-03-01,1.0,1.0,1.0,1.0,40.0,1000.0,,,,
68097013,Kontrol,2012-03-03,1.0,0.0,,1.0,56.0,800.0,,,,
65753029,Deney,2012-03-01,1.0,1.0,1.0,1.0,54.0,750.0,1.0,1.0,1.0,İŞKUR
67032063,Deney,2012-03-01,1.0,0.0,,1.0,48.0,750.0,0.0,1.0,0.0,İŞKUR
68097039,Kontrol,2012-03-02,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
65358133,Deney,2012-03-03,1.0,0.0,,0.0,55.0,700.0,,,,
66922069,Deney,2012-03-02,1.0,1.0,1.0,1.0,40.0,1700.0,0.0,1.0,1.0,İŞKUR
67032001,Kontrol,2012-03-01,1.0,0.0,,1.0,40.0,900.0,,,,
68158046,Deney,2012-03-01,1.0,0.0,,1.0,54.0,900.0,1.0,1.0,1.0,İŞKUR
66922077,Deney,2012-03-01,1.0,1.0,1.0,1.0,45.0,700.0,,,,
67288008,Kontrol,2012-03-03,1.0,0.0,,1.0,42.0,1500.0,,,,
67034026,Kontrol,2012-03-02,1.0,1.0,1.0,0.0,20.0,400.0,,,,
65476001,Kontrol,2012-03-01,1.0,1.0,1.0,,55.0,800.0,,,,
67034040,Kontrol,2012-03-02,1.0,0.0,,,,,,,,
64373039,Deney,2012-03-04,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
68097069,Deney,2012-03-01,1.0,1.0,1.0,1.0,49.0,850.0,1.0,1.0,1.0,İŞKUR
68097017,Kontrol,2012-03-01,1.0,1.0,1.0,1.0,54.0,750.0,,,,
68158047,Deney,2012-03-01,1.0,1.0,0.0,0.0,42.0,500.0,1.0,1.0,1.0,İŞKUR
65987015,Kontrol,2012-03-01,1.0,0.0,,1.0,48.0,400.0,,,,
67032080,Deney,2012-03-01,1.0,0.0,,1.0,30.0,800.0,1.0,1.0,0.0,İŞKUR
67032059,Deney,2012-03-01,1.0,0.0,,,,,,,,
67034066,Deney,2012-03-02,1.0,1.0,1.0,1.0,72.0,2000.0,,,,
68096017,Kontrol,2012-03-01,1.0,1.0,1.0,1.0,65.0,1000.0,,,,
67032015,Kontrol,2012-03-01,1.0,0.0,,1.0,40.0,701.0,,,,
66922023,Kontrol,2012-03-01,1.0,1.0,1.0,1.0,50.0,1000.0,,,,
66922043,Deney,2012-03-01,1.0,0.0,,1.0,45.0,1250.0,1.0,1.0,1.0,İŞKUR
67032029,Kontrol,2012-03-02,1.0,1.0,1.0,1.0,48.0,1000.0,,,,
66922067,Deney,2012-03-02,1.0,1.0,1.0,1.0,45.0,1000.0,0.0,1.0,0.0,İŞKUR
67289016,Kontrol,2012-03-02,1.0,0.0,,,,,,,,
68158025,Kontrol,2012-03-03,1.0,0.0,,,,,,,,
