id,grup,takip_anket_tarih,takip_anket_tamamlama,takip_son_4_hafta_gelir,takip_20_saat_calisma,takip_sgk_kaydi,takip_haftalik_calisma_saat_ort,takip_aylik_gelir_ort,takip_kurs_yeni_yetenekler_ogretti,takip_kurs_yeteneklerimi_sertifikaladi,takip_kurs_is_bulmam_icin_strateji_ogretti,takip_egitimi_kim_verdi
67034028,Kontrol,2012-01-18,1.0,1.0,1.0,1.0,48.0,1000.0,,,,
64300016,Kontrol,2012-01-22,1.0,0.0,,1.0,84.0,850.0,,,,
64281031,Deney,2012-01-28,1.0,0.0,,1.0,54.0,630.0,1.0,1.0,1.0,İŞKUR
67843020,Kontrol,2012-01-19,1.0,0.0,,1.0,48.0,650.0,,,,
66922062,Deney,2012-01-26,1.0,1.0,1.0,1.0,50.0,725.0,0.0,0.0,0.0,İŞKUR
65882018,Kontrol,2012-01-19,1.0,0.0,,,,,,,,
64431016,Kontrol,2012-01-15,1.0,1.0,1.0,1.0,45.0,700.0,1.0,1.0,1.0,İŞKUR
67803043,Deney,2012-01-23,1.0,1.0,1.0,0.0,54.0,1250.0,1.0,1.0,1.0,İŞKUR
65461024,Deney,2012-01-25,1.0,1.0,1.0,1.0,56.0,1000.0,0.0,1.0,0.0,İŞKUR
64300020,Kontrol,2012-01-16,1.0,0.0,,1.0,48.0,650.0,,,,
66542007,Kontrol,2012-01-27,1.0,0.0,,,,,1.0,0.0,1.0,İŞKUR
65496027,Deney,2012-01-24,1.0,0.0,,,,,1.0,1.0,0.0,İŞKUR
68097018,Kontrol,2012-01-14,1.0,0.0,,1.0,102.0,750.0,1.0,1.0,1.0,İŞKUR
64298033,Deney,2012-01-19,1.0,1.0,1.0,1.0,45.0,800.0,1.0,1.0,1.0,İŞKUR
67703035,Deney,2012-01-13,1.0,0.0,,0.0,8.0,500.0,1.0,1.0,1.0,İŞKUR
67579008,Kontrol,2012-01-19,1.0,1.0,0.0,0.0,55.0,600.0,1.0,1.0,0.0,Özel
68405025,Kontrol,2012-01-21,1.0,0.0,,,,,,,,
66922048,Deney,2012-01-19,1.0,1.0,1.0,1.0,60.0,1000.0,1.0,1.0,1.0,İŞKUR
65293037,Deney,2012-01-23,1.0,0.0,,1.0,60.0,600.0,1.0,1.0,1.0,İŞKUR
65293010,Kontrol,2012-01-24,1.0,0.0,,,,,1.0,1.0,0.0,Kamu
65497021,Deney,2012-01-22,1.0,0.0,,1.0,48.0,900.0,0.0,1.0,1.0,İŞKUR
67842030,Deney,2012-01-04,1.0,1.0,1.0,1.0,72.0,700.0,,,,
65687021,Deney,2012-01-13,1.0,0.0,,0.0,15.0,500.0,1.0,1.0,0.0,İŞKUR
62617028,Deney,2012-01-23,1.0,1.0,1.0,1.0,46.0,700.0,1.0,1.0,0.0,İŞKUR
65358013,Kontrol,2012-01-27,1.0,0.0,,,,,,,,
67700029,Deney,2012-01-25,1.0,1.0,1.0,1.0,40.0,1600.0,1.0,1.0,0.0,İŞKUR
68158060,Deney,2012-01-17,1.0,1.0,0.0,,,,1.0,0.0,0.0,İŞKUR
59026006,Kontrol,2012-01-25,1.0,1.0,1.0,1.0,60.0,700.0,,,,
60409036,Deney,2012-01-04,1.0,1.0,1.0,0.0,40.0,700.0,0.0,1.0,0.0,İŞKUR
67032071,Deney,2012-01-25,1.0,0.0,,1.0,54.0,150.0,1.0,1.0,1.0,İŞKUR
64186037,Deney,2012-01-18,1.0,0.0,,1.0,66.0,650.0,0.0,1.0,0.0,İŞKUR
64209042,Deney,2012-01-18,1.0,1.0,1.0,1.0,84.0,1200.0,1.0,1.0,1.0,İŞKUR
60929026,Deney,2012-01-11,1.0,1.0,1.0,1.0,22.0,1100.0,1.0,1.0,1.0,İŞKUR
65358004,Kontrol,2012-01-24,1.0,0.0,,,,,,,,
60929010,Kontrol,2012-01-13,1.0,1.0,0.0,0.0,50.0,150.0,,,,
