id,grup,takip_anket_tarih,takip_anket_tamamlama,takip_son_4_hafta_gelir,takip_20_saat_calisma,takip_sgk_kaydi,takip_haftalik_calisma_saat_ort,takip_aylik_gelir_ort,takip_kurs_yeni_yetenekler_ogretti,takip_kurs_yeteneklerimi_sertifikaladi,takip_kurs_is_bulmam_icin_strateji_ogretti,takip_egitimi_kim_verdi
64264019,Kontrol,2012-02-06,1.0,0.0,,0.0,72.0,200.0,,,,
68301005,Kontrol,2012-02-06,1.0,0.0,,,,,,,,
64347012,Kontrol,2012-02-07,1.0,1.0,0.0,1.0,65.0,740.0,,,,
66891034,Deney,2012-02-21,1.0,1.0,0.0,0.0,48.0,700.0,,,,
67407022,Kontrol,2012-02-22,1.0,1.0,1.0,1.0,60.0,750.0,,,,
67032012,Kontrol,2012-02-11,1.0,1.0,1.0,1.0,40.0,75.0,,,,
66809043,Deney,2012-02-23,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
65459029,Deney,2012-02-21,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
66086047,Deney,2012-02-04,1.0,1.0,1.0,1.0,60.0,700.0,1.0,1.0,0.0,İŞKUR
68304054,Deney,2012-02-02,1.0,1.0,1.0,1.0,84.0,600.0,0.0,0.0,0.0,İŞKUR
64263009,Kontrol,2012-02-15,1.0,0.0,,1.0,54.0,1500.0,0.0,1.0,1.0,Kamu
64373021,Deney,2012-02-09,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
66922066,Deney,2012-02-06,1.0,0.0,,0.0,56.0,700.0,,,,
65179020,Deney,2012-02-22,1.0,1.0,1.0,1.0,45.0,1300.0,1.0,1.0,1.0,İŞKUR
65179023,Deney,2012-02-13,1.0,1.0,1.0,1.0,27.0,,1.0,,0.0,İŞKUR
64281003,Kontrol,2012-02-10,1.0,0.0,,1.0,51.0,1100.0,,,,
64337022,Kontrol,2012-02-17,1.0,0.0,,0.0,50.0,500.0,,,,
67289075,Deney,2012-02-14,1.0,0.0,,1.0,45.0,,1.0,1.0,0.0,İŞKUR
65474004,Kontrol,2012-02-03,1.0,0.0,,0.0,84.0,0.0,1.0,1.0,0.0,Kamu
68301002,Kontrol,2012-02-21,1.0,0.0,,0.0,48.0,600.0,,,,
65480006,Kontrol,2012-02-08,1.0,1.0,1.0,1.0,40.0,700.0,,,,
68304001,Kontrol,2012-02-09,1.0,0.0,,0.0,54.0,500.0,,,,
65749011,Kontrol,2012-02-23,1.0,0.0,,1.0,48.0,800.0,,,,
65687036,Deney,2012-02-28,1.0,0.0,,,,,1.0,1.0,0.0,İŞKUR
68097042,Deney,2012-02-23,1.0,1.0,1.0,1.0,60.0,750.0,1.0,1.0,1.0,İŞKUR
65687007,Kontrol,2012-02-06,1.0,0.0,,0.0,60.0,500.0,,,,
65240025,Kontrol,2012-02-29,1.0,0.0,,,,,,,,
68441036,Deney,2012-02-04,1.0,0.0,,1.0,50.0,700.0,,,,
64344007,Kontrol,2012-02-19,1.0,1.0,1.0,1.0,47.0,750.0,,,,
65043039,Deney,2012-02-24,1.0,1.0,1.0,1.0,60.0,680.0,1.0,1.0,1.0,Kamu
