id,takip_tamamlama,takip_anket_tarihi,takip_calisma_durumu_son_4hafta,takip_calisma_durumu_20_saat,takip_sgk_kaydi,takip_calisma_saat_ort,takip_calisma_aylik_gelir_ort
65179021,1.0,04/02/2012,No,,Yes,20.0,200.0
66303027,1.0,02/02/2012,No,,Yes,56.0,99999.0
65480022,1.0,22/01/2012,No,,,,
65883011,1.0,26/01/2012,No,,No,84.0,400.0
65358095,1.0,25/02/2012,No,,No,60.0,600.0
65987029,1.0,11/02/2012,Yes,Yes,Yes,35.0,701.0
65211016,1.0,24/01/2012,No,,No,50.0,650.0
64174026,1.0,14/02/2012,Yes,Yes,Yes,60.0,1000.0
64247004,1.0,02/02/2012,Yes,Yes,Yes,50.0,1200.0
64431034,1.0,25/01/2012,Yes,Yes,Yes,48.0,700.0
64260050,1.0,13/02/2012,No,,,,
67577017,1.0,13/01/2012,No,,,,
64336029,1.0,30/01/2012,No,,Yes,90.0,800.0
68096024,1.0,20/02/2012,No,,Yes,50.0,1000.0
64282012,1.0,09/02/2012,No,,,,
64248020,1.0,14/02/2012,99.0,Yes,Yes,20.0,400.0
63066001,1.0,14/01/2012,Yes,No,Yes,48.0,1500.0
65883006,1.0,24/01/2012,No,,Yes,60.0,500.0
68304029,1.0,12/02/2012,No,,No,48.0,500.0
67460001,1.0,03/02/2012,No,,Yes,50.0,750.0
65753047,1.0,24/02/2012,Yes,No,No,60.0,400.0
65232026,1.0,18/02/2012,Yes,No,No,48.0,700.0
64358019,1.0,24/01/2012,No,,Yes,30.0,700.0
68444041,1.0,29/02/2012,No,,,,
66809047,1.0,07/02/2012,No,,,,
65496025,1.0,24/01/2012,Yes,Yes,Yes,60.0,700.0
65753021,1.0,25/02/2012,Yes,Yes,Yes,45.0,750.0
65240094,1.0,18/02/2012,No,,No,30.0,800.0
65984004,1.0,16/01/2012,No,,No,40.0,600.0
68304077,1.0,13/02/2012,No,,,,
64236013,1.0,17/02/2012,Yes,Yes,Yes,42.0,1000.0
60409017,1.0,30/01/2012,Yes,Yes,Yes,72.0,700.0
65753013,1.0,07/02/2012,No,,No,50.0,850.0
64356015,1.0,16/02/2012,No,,,,
66542020,1.0,10/02/2012,No,,Yes,48.0,650.0
64329038,1.0,21/02/2012,Yes,Yes,Yes,48.0,950.0
65358070,1.0,28/01/2012,No,,,,
64264013,1.0,20/01/2012,No,,Yes,48.0,500.0
68301025,1.0,18/01/2012,Yes,Yes,Yes,60.0,700.0
64353028,1.0,16/02/2012,Yes,Yes,Yes,60.0,700.0
66922049,1.0,23/02/2012,No,,Yes,48.0,650.0
66264018,1.0,15/02/2012,No,,,,
65473016,1.0,31/01/2012,No,,No,36.0,400.0
65883012,1.0,17/01/2012,Yes,Yes,Yes,56.0,750.0
64373029,1.0,01/02/2012,Yes,Yes,No,48.0,1000.0
68444002,1.0,26/01/2012,Yes,Yes,Yes,40.0,650.0
64264010,1.0,20/01/2012,Yes,Yes,Yes,60.0,700.0
68441017,1.0,05/02/2012,Yes,Yes,Yes,65.0,1200.0
67034026,1.0,02/03/2012,Yes,Yes,No,20.0,400.0
65232013,1.0,20/02/2012,Yes,No,,,
68405035,1.0,31/01/2012,Yes,Yes,,,
64067029,1.0,07/02/2012,No,,Yes,60.0,1300.0
65358123,1.0,25/02/2012,No,,,,
65984075,1.0,08/02/2012,No,,No,54.0,200.0
64353024,1.0,30/01/2012,No,,,,
64329018,1.0,09/02/2012,Yes,Yes,Yes,40.0,700.0
66891011,1.0,22/02/2012,Yes,Yes,Yes,40.0,2500.0
64283010,1.0,20/02/2012,No,,Yes,72.0,1000.0
66922027,1.0,23/02/2012,Yes,Yes,Yes,45.0,970.0
64298042,1.0,19/02/2012,Yes,Yes,Yes,45.0,750.0
68304020,1.0,16/02/2012,Yes,Yes,Yes,76.0,701.0
66542031,1.0,26/01/2012,No,,,,
64244027,1.0,03/02/2012,Yes,No,No,100.0,1200.0
68302009,1.0,16/02/2012,No,,,,
60983015,1.0,16/01/2012,Yes,Yes,Yes,51.0,800.0
67289043,1.0,23/02/2012,No,,,,
67289022,1.0,15/02/2012,No,,Yes,60.0,1300.0
67845027,1.0,10/01/2012,Yes,Yes,No,40.0,1300.0
62617027,1.0,15/02/2012,Yes,No,Yes,30.0,650.0
68405034,1.0,15/02/2012,No,,Yes,60.0,750.0
67683031,1.0,05/01/2012,No,,No,55.0,700.0
65984057,1.0,15/02/2012,Yes,Yes,Yes,48.0,800.0
65240058,1.0,27/01/2012,No,,,,
65211001,1.0,28/01/2012,Yes,Yes,Yes,84.0,900.0
64357003,1.0,19/02/2012,No,,,,
64344008,1.0,20/02/2012,Yes,Yes,Yes,45.0,1000.0
67573045,1.0,12/02/2012,Yes,Yes,Yes,48.0,860.0
68233024,1.0,24/02/2012,Yes,Yes,Yes,75.0,730.0
64346015,1.0,21/02/2012,No,,Yes,48.0,900.0
65211017,1.0,27/01/2012,No,,,,
68119020,1.0,24/01/2012,No,,No,70.0,400.0
68441045,1.0,14/01/2012,No,,,,
65988019,1.0,06/02/2012,No,,No,48.0,650.0
64329036,1.0,14/02/2012,Yes,Yes,Yes,47.0,700.0
64364024,1.0,01/02/2012,Yes,Yes,Yes,55.0,1000.0
64336041,1.0,24/01/2012,No,,,,
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
65473008,1.0,24/01/2012,No,,,,
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
65211035,1.0,27/01/2012,No,,No,60.0,650.0
65293028,1.0,31/01/2012,No,,Yes,48.0,650.0
67460003,1.0,28/12/2011,No,,No,45.0,800.0
64186021,1.0,28/01/2012,Yes,Yes,Yes,54.0,900.0
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
64264028,1.0,20/01/2012,Yes,Yes,Yes,54.0,750.0
67034008,1.0,14/01/2012,No,,Yes,60.0,600.0
65476040,1.0,13/01/2012,Yes,Yes,Yes,20.0,350.0
67032038,1.0,14/02/2012,No,,,,
66891030,1.0,06/02/2012,No,,Yes,50.0,600.0
64260039,1.0,13/02/2012,No,,,,
65481022,1.0,22/01/2012,No,,No,60.0,500.0
67407032,1.0,18/01/2012,No,,,,
67803009,1.0,09/02/2012,No,,Yes,40.0,700.0
64344038,1.0,21/02/2012,No,,No,54.0,1000.0
65240018,1.0,22/02/2012,No,,No,48.0,550.0
65358015,1.0,23/02/2012,No,,,,
68441024,1.0,20/01/2012,No,,,,
67034068,1.0,06/02/2012,Yes,Yes,Yes,48.0,700.0
65473018,1.0,25/01/2012,No,,Yes,72.0,660.0
67034012,1.0,07/02/2012,Yes,Yes,Yes,80.0,900.0
68158017,1.0,01/03/2012,No,,Yes,45.0,800.0
65687001,1.0,16/02/2012,No,,,,
64347004,1.0,01/03/2012,Yes,Yes,99.0,40.0,1500.0
65042022,1.0,21/01/2012,No,,,,
64300035,1.0,26/01/2012,Yes,Yes,Yes,40.0,1500.0
64068047,1.0,27/01/2012,No,,No,45.0,750.0
68097047,1.0,13/02/2012,Yes,Yes,Yes,48.0,1000.0
67034063,1.0,13/02/2012,No,,Yes,45.0,99999.0
65294020,1.0,03/02/2012,No,,Yes,20.0,450.0
68097048,1.0,13/01/2012,No,,Yes,48.0,800.0
65293012,1.0,10/02/2012,No,,Yes,50.0,800.0
68402050,1.0,20/01/2012,Yes,Yes,No,50.0,600.0
65496012,1.0,24/01/2012,Yes,Yes,Yes,44.0,700.0
64284027,1.0,21/02/2012,No,,,,
68097074,1.0,26/01/2012,Yes,Yes,Yes,48.0,1500.0
65496001,1.0,22/01/2012,No,,No,48.0,0.0
67803047,1.0,11/01/2012,No,,,,
65358058,1.0,01/02/2012,No,,,,
65179016,1.0,22/02/2012,Yes,Yes,No,36.0,400.0
64297045,1.0,18/01/2012,Yes,Yes,Yes,45.0,1000.0
64262044,1.0,28/01/2012,No,,,,
65986018,1.0,19/01/2012,No,,,,
64343010,1.0,08/02/2012,No,,Yes,55.0,1000.0
68441030,1.0,14/01/2012,No,,,,
64236006,1.0,18/02/2012,Yes,Yes,Yes,10.0,1400.0
65240104,1.0,23/01/2012,No,,,,
64337021,1.0,30/01/2012,No,,No,60.0,550.0
64361013,1.0,29/02/2012,No,,No,84.0,630.0
68449032,1.0,16/02/2012,No,,,,
67843047,1.0,22/02/2012,No,,Yes,48.0,800.0
65358040,1.0,28/01/2012,Yes,Yes,Yes,56.0,800.0
65294027,1.0,10/02/2012,No,,Yes,55.0,900.0
66264034,1.0,12/02/2012,No,,No,60.0,650.0
64344012,1.0,09/02/2012,No,,Yes,72.0,1100.0
67407029,1.0,18/01/2012,No,,Yes,70.0,300.0
67803046,1.0,16/01/2012,No,,Yes,54.0,600.0
64298020,1.0,02/02/2012,Yes,Yes,No,60.0,1200.0
65358122,1.0,03/02/2012,No,,,,
64282005,1.0,24/01/2012,Yes,Yes,No,2.0,200.0
65883015,1.0,28/01/2012,No,,Yes,48.0,100.0
65883029,1.0,16/01/2012,Yes,Yes,Yes,40.0,850.0
60929028,1.0,04/01/2012,Yes,No,Yes,65.0,1200.0
64248016,1.0,12/01/2012,No,,Yes,20.0,500.0
67032045,1.0,02/03/2012,Yes,Yes,Yes,66.0,850.0
65294035,1.0,25/01/2012,No,,Yes,55.0,750.0
64336033,1.0,06/02/2012,No,,,,
66086033,1.0,03/02/2012,No,,,,
68304041,1.0,07/02/2012,No,,No,48.0,250.0
67803012,1.0,23/01/2012,No,,,,
67573015,1.0,05/01/2012,No,,Yes,60.0,650.0
65987008,1.0,03/02/2012,No,,Yes,40.0,1000.0
64248029,1.0,20/02/2012,Yes,No,No,10.0,300.0
64343036,1.0,24/02/2012,Yes,No,,,
67845036,1.0,08/02/2012,No,,Yes,55.0,1000.0
64260007,1.0,27/01/2012,No,,,,
65358099,1.0,01/02/2012,No,,,,
67845047,1.0,09/02/2012,No,,,,
67683019,1.0,05/01/2012,Yes,Yes,Yes,50.0,800.0
68233006,1.0,21/02/2012,No,,,,
68386023,1.0,04/02/2012,Yes,Yes,No,70.0,950.0
64209041,1.0,24/02/2012,No,,,,
64357009,1.0,06/02/2012,No,,,,
64067006,1.0,14/02/2012,No,,No,35.0,650.0
64273009,1.0,01/02/2012,No,,,,
65179005,1.0,02/02/2012,No,,Yes,48.0,650.0
64353017,1.0,08/02/2012,No,,,,
65749003,1.0,21/02/2012,No,,Yes,45.0,1100.0
68097027,1.0,26/01/2012,Yes,Yes,Yes,45.0,1000.0
67032063,1.0,01/03/2012,No,,Yes,48.0,750.0
68449006,1.0,15/02/2012,Yes,Yes,Yes,48.0,750.0
65358021,1.0,23/02/2012,No,,,,
67289079,1.0,02/03/2012,Yes,Yes,Yes,60.0,1000.0
65749035,1.0,01/02/2012,Yes,Yes,Yes,40.0,1000.0
65043028,1.0,24/02/2012,No,,,,
64345001,1.0,19/02/2012,Yes,Yes,Yes,45.0,790.0
67460040,1.0,12/01/2012,Yes,Yes,Yes,45.0,700.0
66542001,1.0,24/01/2012,No,,No,60.0,600.0
65043012,1.0,23/02/2012,No,,No,90.0,650.0
65358134,1.0,25/02/2012,Yes,Yes,Yes,999.0,660.0
67032058,1.0,11/02/2012,No,,Yes,54.0,750.0
64247039,1.0,16/02/2012,Yes,No,Yes,40.0,400.0
68357049,1.0,13/01/2012,No,,,,
65473023,1.0,24/01/2012,No,,,,
68441026,1.0,14/01/2012,Yes,No,Yes,60.0,580.0
64297034,1.0,22/02/2012,No,,,,
67034017,1.0,13/01/2012,Yes,No,Yes,72.0,800.0
67683027,1.0,21/01/2012,No,,,,
65434038,1.0,07/02/2012,Yes,Yes,Yes,42.0,700.0
67683001,1.0,08/02/2012,Yes,Yes,Yes,45.0,1000.0
68444035,1.0,16/01/2012,No,,Yes,60.0,800.0
64346026,1.0,24/01/2012,Yes,Yes,Yes,48.0,900.0
68097031,1.0,29/02/2012,No,,No,48.0,400.0
65687040,1.0,14/02/2012,Yes,Yes,Yes,45.0,800.0
64297037,1.0,19/02/2012,Yes,Yes,Yes,48.0,800.0
67032036,1.0,02/03/2012,Yes,Yes,Yes,55.0,900.0
60929012,1.0,11/01/2012,Yes,Yes,Yes,56.0,800.0
65687021,1.0,13/01/2012,No,,No,15.0,500.0
64364019,1.0,11/02/2012,Yes,Yes,Yes,45.0,1500.0
64244031,1.0,13/01/2012,No,,Yes,70.0,850.0
64337028,1.0,15/02/2012,No,,,,
64343027,1.0,20/02/2012,Yes,Yes,Yes,40.0,700.0
67826031,1.0,06/01/2012,Yes,Yes,Yes,40.0,1100.0
66891017,1.0,10/02/2012,No,,No,35.0,200.0
68096011,1.0,23/02/2012,No,,Yes,54.0,1000.0
65481024,1.0,20/02/2012,Yes,Yes,Yes,55.0,700.0
64263046,1.0,28/02/2012,Yes,Yes,No,60.0,600.0
64347017,1.0,24/01/2012,Yes,Yes,Yes,84.0,750.0
68304038,1.0,02/02/2012,No,,No,75.0,250.0
65749017,1.0,16/02/2012,Yes,Yes,No,20.0,400.0
59026014,1.0,14/02/2012,No,,No,40.0,200.0
64354037,1.0,17/02/2012,Yes,Yes,Yes,48.0,1500.0
67845041,1.0,17/01/2012,Yes,No,No,60.0,500.0
64346034,1.0,22/02/2012,Yes,Yes,Yes,45.0,900.0
67460031,1.0,28/12/2011,No,,Yes,54.0,2000.0
66303017,1.0,17/01/2012,No,,Yes,45.0,600.0
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
68444045,1.0,17/01/2012,No,,Yes,42.0,1000.0
64283020,1.0,07/02/2012,No,,,,
67573016,1.0,02/02/2012,No,,,,
67826050,1.0,08/02/2012,Yes,Yes,Yes,45.0,700.0
64262024,1.0,23/02/2012,No,,,,
66809034,1.0,08/02/2012,Yes,No,No,30.0,900.0
66837020,1.0,02/02/2012,Yes,Yes,No,50.0,700.0
67703002,1.0,02/03/2012,Yes,Yes,Yes,50.0,100.0
64282016,1.0,11/02/2012,No,,,,
65984049,1.0,17/01/2012,Yes,No,Yes,60.0,1000.0
64209013,1.0,24/02/2012,Yes,Yes,Yes,60.0,750.0
64357075,1.0,12/02/2012,Yes,No,No,30.0,500.0
68449036,1.0,12/01/2012,No,,No,55.0,350.0
64364014,1.0,15/02/2012,No,,No,80.0,300.0
67289044,1.0,06/02/2012,Yes,No,,,
65984050,1.0,17/01/2012,No,,,,
64263023,1.0,14/02/2012,No,,,,
64209011,1.0,17/01/2012,No,,,,
65043044,1.0,22/02/2012,Yes,Yes,Yes,48.0,955.0
67289037,1.0,27/02/2012,No,,,,
64346037,1.0,21/02/2012,No,,Yes,999.0,660.0
64357019,1.0,26/01/2012,Yes,Yes,Yes,48.0,700.0
64283005,1.0,17/02/2012,Yes,No,Yes,40.0,1000.0
67799049,1.0,23/01/2012,No,,Yes,50.0,99999.0
68304058,1.0,20/02/2012,No,,Yes,45.0,500.0
65358044,1.0,23/02/2012,No,,No,30.0,100.0
68402032,1.0,13/01/2012,No,,,,
66922079,1.0,10/02/2012,Yes,Yes,,,
66837036,1.0,22/02/2012,No,,Yes,999.0,500.0
66382002,1.0,28/02/2012,Yes,Yes,No,45.0,600.0
64298009,1.0,18/01/2012,No,,Yes,72.0,800.0
65358073,1.0,25/02/2012,No,,Yes,50.0,800.0
68405040,1.0,10/01/2012,No,,,,
65436024,1.0,15/02/2012,No,,No,66.0,350.0
64209021,1.0,21/01/2012,No,,No,52.0,400.0
68444020,1.0,30/01/2012,Yes,Yes,Yes,66.0,750.0
59026021,1.0,30/01/2012,No,,Yes,48.0,650.0
65497001,1.0,14/02/2012,Yes,Yes,Yes,45.0,1500.0
64262035,1.0,27/01/2012,No,,,,
62617023,1.0,14/02/2012,No,,,,
66922011,1.0,01/03/2012,No,,Yes,45.0,1200.0
67700041,1.0,06/01/2012,Yes,No,Yes,54.0,900.0
64431033,1.0,25/01/2012,No,,Yes,50.0,1000.0
67843040,1.0,08/02/2012,No,,No,36.0,600.0
64263042,1.0,18/02/2012,No,,,,
67034079,1.0,20/01/2012,No,,Yes,49.0,650.0
68441023,1.0,14/01/2012,No,,Yes,54.0,840.0
59026039,1.0,31/01/2012,99.0,Yes,Yes,60.0,650.0
64260042,1.0,27/01/2012,No,,Yes,40.0,700.0
68441013,1.0,22/02/2012,Yes,Yes,Yes,45.0,750.0
67683047,1.0,26/01/2012,Yes,Yes,Yes,48.0,900.0
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
64260012,1.0,09/02/2012,No,,,,
67289045,1.0,14/02/2012,No,,,,
64345013,1.0,21/02/2012,Yes,Yes,Yes,48.0,1000.0
65240023,1.0,13/02/2012,Yes,Yes,No,20.0,280.0
68301014,1.0,07/02/2012,No,,,,
68405043,1.0,21/01/2012,No,,Yes,55.0,700.0
67034006,1.0,23/01/2012,Yes,Yes,No,90.0,600.0
67289057,1.0,27/02/2012,No,,,,
67703021,1.0,26/01/2012,Yes,Yes,Yes,30.0,600.0
67786012,1.0,06/01/2012,Yes,Yes,Yes,50.0,700.0
64264014,1.0,20/01/2012,No,,Yes,24.0,280.0
67579032,1.0,12/01/2012,Yes,Yes,Yes,21.0,600.0
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
64295047,1.0,20/01/2012,Yes,Yes,Yes,40.0,800.0
65883014,1.0,10/02/2012,No,,,,
66922066,1.0,06/02/2012,No,,No,56.0,700.0
64297026,1.0,17/01/2012,No,,No,70.0,500.0
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
65358176,1.0,27/01/2012,No,,,,
68357002,1.0,14/02/2012,No,,No,60.0,300.0
64273006,1.0,13/02/2012,Yes,Yes,Yes,48.0,700.0
65986020,1.0,08/02/2012,Yes,Yes,Yes,54.0,700.0
65883036,1.0,24/02/2012,No,,,,
64174018,1.0,21/02/2012,Yes,No,,,
68402020,1.0,13/01/2012,No,,No,77.0,900.0
65436003,1.0,15/02/2012,No,,,,
67289077,1.0,27/01/2012,No,,Yes,40.0,700.0
64356039,1.0,16/02/2012,Yes,Yes,Yes,40.0,1200.0
66451047,1.0,27/02/2012,No,,No,999.0,300.0
64244040,1.0,10/02/2012,Yes,No,Yes,12.0,900.0
64337047,1.0,11/02/2012,No,,Yes,48.0,350.0
65434014,1.0,02/03/2012,No,,Yes,40.0,650.0
68441001,1.0,09/02/2012,Yes,Yes,Yes,50.0,1200.0
65461008,1.0,16/02/2012,Yes,Yes,No,70.0,800.0
